# _tick,_time,plr_track_area,track_area,plr_track_perimeter,track_perimeter,plr_track_amplitude,track_amplitude,plr_track_convex,track_convex,plr_track_notches,track_notches,plr_track_complexity,track_complexity,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:CarRacingF1-Germany-v0,test_returns:CarRacingF1-Germany-v0,sps,target_agent_return
471,1784741697.9605813,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.2602330446243286,-3.064516931772232e-06,0.055722721401252784,1.416558787226677,4712000,11335,37696,2356,54.397778,0.019663767656311393,-0.007393999420855835,-2.8103535920381546,169.15991,0.007796202422468923,0.0007713392446930811,-2.771208830177784,,,0.95,0.88,5.101646567331588,7.429232366982328,0.8126814751128189,,,39.47628182903017,
472,1784741951.1753008,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.07554292678833008,-0.015243710717186332,0.14293880603509024,1.4266295097768307,4722000,11343,37776,2361,136.23679,0.015148720238357782,-0.003150818585709203,-2.9240115582942963,202.85771,0.0143494134536013,-0.010042775014881045,-2.841974250972271,,,0.95,0.88,7.515270146460308,4.51481358536937,0.9058585570919927,,,39.49217503656309,
473,1784742207.0986876,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.17826791107654572,-0.001357888919301331,0.26964214324834757,1.416769728064537,4732000,11358,37856,2366,213.96504,0.02054986570146866,-0.014231886923255388,-2.9346855878829956,274.76974,0.030223418259993196,0.010539865965256467,-2.8945438861846924,,,0.95,0.88,4.940730964247868,4.915777895662199,0.8318662582864005,,,39.07419358617177,
474,1784742463.5601213,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.4324159622192383,-0.003131180885247886,0.5071542020887136,1.4134171195328236,4742000,11387,37936,2371,234.91475,0.012858401896664873,-0.014240560190955875,-2.9059407338500023,159.98285,0.041321577795315534,-0.004112197537324391,-2.957811214029789,,,0.95,0.88,4.147381336718006,5.452347315298595,1.1430100712881905,,,38.992217680949395,
475,1784742737.313692,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.29191529750823975,0.002255172235891223,0.11657793796621263,1.412806048989296,4752000,11410,38016,2376,153.71138,0.035620217327959836,-0.001532828562631039,-3.0055964663624763,118.1783,0.013296952834934928,-0.004473255885386607,-2.8675742521882057,,,0.95,0.88,6.329900843572041,5.994396971661391,0.9982874885281363,1.0,605.8946,36.529203768262214,605.8946
476,1784742995.84438,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.5699945688247681,-0.03533561073709279,0.59047522675246,1.4138268269598484,4762000,11437,38096,2381,228.62439,0.04228227451676503,-0.00498758623325557,-2.901852563023567,135.74203,0.045344855287112296,-0.0032822116299939808,-2.9081455171108246,,,0.95,0.88,7.545506006070485,6.983903621418801,1.0288940640639401,,,38.68012966407453,
477,1784743251.5615566,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.04724299535155296,-0.00964935403317213,0.23743159417062998,1.4182034209370613,4772000,11465,38176,2386,149.11032,0.03268774546450004,-0.002044267068413319,-2.839966744184494,225.04411,0.030487266019918025,0.009522352229396347,-2.8200009539723396,,,0.95,0.88,5.336917215519266,5.904527447702972,0.9552983809363684,,,39.105702870899464,
478,1784743509.3046918,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.3211079239845276,-0.004396357340738177,0.38349126442335546,1.4032864607870579,4782000,11490,38256,2391,336.19904,0.03448907082201913,0.007463314675987931,-2.9140641689300537,163.85341,0.03442292410181835,-0.006582230730600713,-2.8415051847696304,,,0.95,0.88,6.5265220179459345,4.735890624262129,1.1114232012745535,,,38.79831607674798,
479,1784743763.5133562,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.07383154332637787,-0.011364161618985236,0.18491608503973112,1.3971762731671333,4792000,11512,38336,2396,224.49821,0.009750091165187769,0.008284454749627912,-2.738032229244709,303.38116,0.01839198381640017,-0.004231042261807261,-2.7782682925462723,,,0.95,0.88,8.047456391175945,4.659126717537343,0.6808491889358372,,,39.337763614665334,
480,1784744040.0548,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.309980571269989,-0.00018223817460238934,0.31147229950875044,1.4016489163041115,4802000,11548,38416,2401,225.73811,0.03078203840414062,-0.003616329289798159,-2.903749957680702,190.45465,0.030108927108813077,-0.009401653565873858,-2.8323031961917877,,,0.95,0.88,4.887768033953648,5.390386311385704,1.1680512028142778,1.0,642.7026,36.16094400265006,642.7026
