# _tick,_time,plr_track_area,track_area,plr_track_perimeter,track_perimeter,plr_track_amplitude,track_amplitude,plr_track_convex,track_convex,plr_track_notches,track_notches,plr_track_complexity,track_complexity,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:CarRacingF1-Germany-v0,test_returns:CarRacingF1-Germany-v0,target_agent_return,target_solved_rate,sps
306,1784943521.3996296,,64268.01137713347,,2252.7879353250833,,0.20666514221744617,,0.5169634439255133,,0.5190076030412164,,0.18920131286066175,0.0,0.0,0.0,0.0,3062000,4136,24496,1531,179.63554,0.03823429060867056,-0.017656390726187965,-3.6372116208076477,0,0.0,0.0,0.0,,,5.940188308094408,0,0,,,,,76.01057348257005
307,1784943653.22731,,65868.56098698772,,2305.666081320001,,0.19726723994867018,,0.5169634466687967,,0.5190076030412164,,0.185299247225212,0.0,0.0,0.0,0.0,3072000,4147,24576,1536,191.38403,0.028616515803150833,-0.006947726105863694,-3.6317359283566475,0,0.0,0.0,0.0,,,7.126107592746433,0,0,,,,,75.8566040577963
308,1784943790.15235,,61090.59296005384,,2226.9136489460157,,0.19561095360376152,,0.5169634446659036,,0.5190076030412164,,0.1846115466599766,0.0,0.0,0.0,0.0,3082000,4151,24656,1541,184.7533,0.025589028315152973,-0.0011108037535905169,-3.694144107401371,0,0.0,0.0,0.0,,,8.162002149018893,0,0,,,,,73.03265967167995
309,1784943924.2185946,,62753.94745804894,,2242.6948997414443,,0.2008978846216978,,0.5169634378268048,,0.5190076030412164,,0.18680671120820758,0.0,0.0,0.0,0.0,3092000,4161,24736,1546,168.09818,0.03558644466102123,-0.012598354287547409,-3.6120386123657227,0,0.0,0.0,0.0,,,5.999284257270108,0,0,,,,,74.59001023601574
310,1784944078.5769792,,62056.032906581226,,2232.0651715664217,,0.19982487537105093,,0.5169634422094899,,0.5190076030412164,,0.18636119211736912,0.0,0.0,0.0,0.0,3102000,4167,24816,1551,263.4913,0.014647008501924574,-0.018826104249455966,-3.6094440296292305,0,0.0,0.0,0.0,,,5.738286616211461,0,0,1.0,635.7678,635.767822265625,1.0,64.78429299559969
311,1784944211.2118025,,63458.510947136674,,2250.919718197321,,0.20142628692332112,,0.5169634502991891,,0.5190076030412164,,0.18702610955229,0.0,0.0,0.0,0.0,3112000,4173,24896,1556,249.168,0.028297566226683557,-0.008440293073363137,-3.5843428149819374,0,0.0,0.0,0.0,,,6.610860782888203,0,0,,,,,75.39498892532907
312,1784944342.801423,,60916.055478295006,,2211.265766012856,,0.19974420525652195,,0.5169634421413006,,0.5190076030412164,,0.1863276973815083,0.0,0.0,0.0,0.0,3122000,4178,24976,1561,206.97305,0.011697575537255034,-0.0027170120301889256,-3.609732337296009,0,0.0,0.0,0.0,,,8.97386187584546,0,0,,,,,75.99382580191377
313,1784944474.0625937,,60640.90909844365,,2201.169168531057,,0.20127870965685185,,0.5169634426599061,,0.5190076030412164,,0.18696483304576658,0.0,0.0,0.0,0.0,3132000,4185,25056,1566,196.22661,0.030754046398214996,-0.02084493840811774,-3.5855942219495773,0,0.0,0.0,0.0,,,5.442024335598603,0,0,,,,,76.18399290133871
314,1784944606.5449884,,60976.5988822505,,2198.0072123324503,,0.20409725536153991,,0.5169634495692007,,0.5190076030412164,,0.18813511174782727,0.0,0.0,0.0,0.0,3142000,4192,25136,1571,126.93445,0.025471345870755613,-0.026170207213908725,-3.577548786997795,0,0.0,0.0,0.0,,,6.2891144753850945,0,0,,,,,75.48172096179303
315,1784944757.8399704,,64281.34934780383,,2275.68083253043,,0.1999029036929871,,0.516963442187101,,0.5190076030412164,,0.18639358994676133,0.0,0.0,0.0,0.0,3152000,4197,25216,1576,205.14287,0.015447963582118973,-0.013838788254361134,-3.5206380784511566,0,0.0,0.0,0.0,,,6.956368782069098,0,0,1.0,659.439,659.4390258789062,1.0,66.09604267487403
