# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps
10,1783229909.838246,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.712901329156011,,5.403722920338623,,7.857819723780267,,2.106883972825017,,2.9842665581963956,-0.6034569144248962,-0.006866261197501444,0.11614113010000437,1.4667340889573097,3309568,5439,1616,101,-66.33526,0.013544566591735929,-0.0008382876127143391,2.011256218701601,-104.90171,0.02413532033096999,-0.0017388659369316883,1.9954905368387699,,,0.95,0.9,0.7990242444937935,0.770484929407186,1.2676216500394657,0.0,-88.20714,1127.929349667618
11,1783230231.1172283,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.7344457355793566,,5.082357121631503,,7.424674317240715,,2.097268950426951,,2.6974254578817636,-0.26149827241897583,-0.013654227906954475,0.09838518995093182,1.4721360057592392,3637248,5781,1776,111,-72.15651,0.010507416559266857,-0.0006615626582060941,1.6099767945706844,-82.80322,0.01931043730583042,0.00027979271253570915,1.6409552097320557,,,0.95,0.9,0.8589182038208676,0.8565460572359251,0.9843254596435593,0.0,-77.818245,1019.9235275864082
12,1783230497.447755,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.679216660093516,,4.72643030132167,,7.511513496690895,,2.1181685978081077,,2.9069998694758397,-0.3108498752117157,-0.0029413604279397987,0.05653566855471581,1.4785166159272194,3964928,6137,1936,121,-52.773132,0.009579193462559487,-0.0007288097534910776,1.3240484856069088,-86.98954,0.02221782454289496,6.086552457418293e-05,1.3304074607789516,,,0.95,0.9,0.9397418085641067,0.9701559434241845,0.9038951631474077,0.0,-87.179436,1230.3508858070973
13,1783230771.1780019,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,6.07541309291264,,5.542763284407556,,8.00761953741312,,2.405415249057114,,3.1471700799884275,-0.30534201860427856,0.0014567198522854596,0.09168968664016575,1.481733851134777,4292608,6496,2096,131,-60.014324,0.018654563365271316,-0.00015598159952787683,1.0384263433516026,-73.24199,0.024953618610743432,-0.0011021233658539131,1.0435626156628133,,,0.95,0.9,1.0127425609946907,1.039344723227893,1.4154230557081056,0.0,-86.03853,1197.0909302366888
14,1783231042.595796,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.5525718732969835,,5.198175441706553,,7.54798861942254,,2.1518289861269295,,3.1051885690540075,-0.26088955998420715,-0.01697449501079973,0.1428014476550743,1.4859984517097473,4620288,6886,2256,141,-76.84911,0.018984107903088444,0.0003272336354712024,0.8070941653102637,-91.88384,0.03775987075641751,-0.0009010078574647196,0.7899553205817937,,,0.95,0.9,1.0771921760110004,1.0824060648995057,0.6114092676925245,0.0,-87.88841,1207.2900527985962
15,1783231358.6027799,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.379605783848092,,5.110509891528636,,7.318158732494339,,2.007429736899212,,2.7859374822073733,-0.41898393630981445,-0.011504537629662082,0.16403554775752127,1.4819101579487324,4947968,7288,2416,151,-77.92447,0.017046343226684257,0.0005019919612095691,0.617680986225605,-78.58858,0.027538533898768945,-0.000360878296487499,0.6540310617536307,,,0.95,0.9,1.2506170564147108,1.0919979464544745,0.8678228431513577,0.0,-71.14882,1036.9392009649753
16,1783231636.9464998,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.1954779285006225,,4.811041375622153,,6.911783657036722,,1.9740314804948866,,2.7748405253514647,-0.3454579710960388,-0.0020372766884975135,0.06108640070306137,1.4790295958518982,5275648,7705,2576,161,-61.5412,0.014757833295152522,-0.0001501479920989368,0.4915481321513653,-95.068115,0.02903766045928933,-0.0006333718178211711,0.45033113807439806,,,0.95,0.9,1.141081597524995,1.1304233134371553,0.9492611442504029,0.0,-70.555595,1177.2494360881392
17,1783231915.4057443,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.981429775245488,,5.5765210799872875,,7.795166250085458,,2.370456948876381,,3.110450870124623,-0.09607544541358948,-0.0022706870804540813,0.07406442306819372,1.4523466192185879,5603328,8084,2736,171,-92.29878,0.02881262593436986,0.0005346941179595888,0.24145091995596885,-80.29249,0.01724573911924381,-0.00011816662736237049,0.2415155954658985,,,0.95,0.9,1.2025933474828994,1.127367049914205,1.4534890397369788,0.0,-66.55863,1176.7610293727769
18,1783232192.175718,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.956650665029883,,4.323388288728893,,6.995167217217386,,1.7709277383983135,,2.6403479496948417,-0.3681209683418274,-0.0011282351479167119,0.05429473693948239,1.4505228027701378,5931008,8495,2896,181,-53.6924,0.020681368897203355,-7.46659265132621e-05,0.03896068036556244,-62.23944,0.011861292624962516,-6.831953141954728e-05,0.043802058696746825,,,0.95,0.9,1.2686843560600933,1.3121187504916572,1.0155879053576442,0.0,-62.986366,1183.9434487862193
19,1783232464.4538453,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,6.007117543369532,,5.680651850998402,,8.117193331941962,,2.3196366769370798,,3.168445742689073,-0.13893595337867737,0.0006881089866510592,0.023806042881915346,1.4610462374985218,6258688,8888,3056,191,-93.13216,0.01844656280009076,0.0008952177944593131,-0.09480694010853767,-74.633316,0.016738062619697302,-0.0010972957912599667,-0.11317707300186157,,,0.95,0.9,1.428140995069104,1.321255125183857,1.0476605312068323,0.0,-59.619507,1203.4752638470518
