# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Medium-Eval-v0,test_returns:BipedalWalker-MADS-Medium-Eval-v0,target_agent_return,target_solved_rate,sps
179,1784475318.359984,,4.7985653195064515,,3.666707396041602,,6.574540855363011,,1.188555977314536,,2.737846914678812,,1.28375347238034,,2.7823884692043066,,4.3125,0.0,0.0,0.0,0.0,29360128,12964,14336,896,-80.6414,0.0537845044862479,0.001877644179330673,-3.2539306923747064,0,0.0,0.0,0.0,,,4.8687208433233335,0,0,0.0,-75.45586,-75.45585632324219,0.0,1870.9846061487526
180,1784475391.934107,,4.479016833938658,,3.5716076608514413,,6.447161212563515,,1.7312801053049043,,3.284933641552925,,0.9660447901114821,,2.7063273079693317,,4.75,0.0,0.0,0.0,0.0,29523968,13035,14416,901,-78.27673,0.06428552870638668,0.0019390075074625201,-3.2629336386919023,0,0.0,0.0,0.0,,,5.0477836201744495,0,0,0.0,-87.107834,-87.10783386230469,0.0,2226.871836833196
181,1784475480.5750477,,5.224382941960357,,3.132093023741618,,6.538379695266485,,1.6363806260051206,,2.983844489790499,,1.4207803158205934,,3.0405052611604333,,4.8125,0.0,0.0,0.0,0.0,29687808,13105,14496,906,-78.03169,0.08520922353491187,0.0021127293701283635,-3.274333743751049,0,0.0,0.0,0.0,,,4.71449226463658,0,0,0.0,-75.741066,-75.7410659790039,0.0,1848.3547058387628
182,1784475552.7461073,,4.819506709463894,,4.26804477814585,,7.604765724390745,,2.0383967336965725,,3.2197091449052095,,1.6904061706736684,,3.2558024302124977,,5.4375,0.0,0.0,0.0,0.0,29851648,13173,14576,911,-79.89651,0.07534747009631246,0.0031732788353110663,-3.2816787332296373,0,0.0,0.0,0.0,,,4.7166176364392145,0,0,0.0,-84.666245,-84.66624450683594,0.0,2270.1640269778754
183,1784475626.0820518,,4.215505472384393,,3.82998569693882,,6.764204651117325,,0.9773829160258174,,2.5080890860408545,,1.2052383553236723,,2.920476566068828,,4.4375,0.0,0.0,0.0,0.0,30015488,13245,14656,916,-77.64711,0.0743467939319089,0.002569375191524159,-3.289868433773518,0,0.0,0.0,0.0,,,4.529060397600512,0,0,0.0,-75.11838,-75.11837768554688,0.0,2234.1013755833624
184,1784475714.8524156,,5.448284244630486,,3.9522410405334085,,6.4043172262609005,,1.2240330968052149,,3.1415559258311987,,1.5710609359666705,,3.0656775273382664,,4.3125,0.0,0.0,0.0,0.0,30179328,13315,14736,921,-81.22252,0.08915083920583129,0.0032685362457414158,-3.3315898343920707,0,0.0,0.0,0.0,,,4.891820524643814,0,0,0.0,-90.95331,-90.95330810546875,0.0,1845.66125393118
185,1784475786.2463403,,3.7573667417746037,,3.827609939035028,,7.277834014967084,,1.2938420636055525,,3.091721087694168,,1.1783624914824031,,2.6370590599253774,,3.875,0.0,0.0,0.0,0.0,30343168,13382,14816,926,-80.092514,0.07682492898311466,0.003455102753650863,-3.317690949141979,0,0.0,0.0,0.0,,,5.095478860211841,0,0,0.0,-74.94684,-74.94683837890625,0.0,2294.8715237206425
186,1784475877.5694516,,4.5236474415287375,,3.5295321652665734,,6.536813462153077,,1.6831154533429071,,2.8157939948141575,,0.8166920581425074,,2.5704497238621116,,3.9375,0.0,0.0,0.0,0.0,30507008,13451,14896,931,-75.75564,0.07303926364984363,0.0023654467884625776,-3.3682348281145096,0,0.0,0.0,0.0,,,5.081427466304677,0,0,0.0,-31.39834,-31.398340225219727,0.0,1794.0698371248943
187,1784475948.7082202,,4.682981357909739,,2.8035963349975646,,6.109724333509803,,1.7793934842484305,,3.048085579648614,,1.569121239008382,,3.08683211915195,,5.0,0.0,0.0,0.0,0.0,30670848,13514,14976,936,-79.71343,0.05904721955303103,0.0013420545001281425,-3.390846551954746,0,0.0,0.0,0.0,,,5.031793743973765,0,0,0.0,-57.733955,-57.73395538330078,0.0,2303.1046353799343
188,1784476022.2162924,,5.737106753513217,,4.464680179953575,,7.115030717104673,,1.529739348916337,,3.326023332774639,,1.8495980615261942,,3.3411021158099174,,5.3125,0.0,0.0,0.0,0.0,30834688,13575,15056,941,-79.32298,0.0704917254857719,0.0034072963579092177,-3.4089507535099983,0,0.0,0.0,0.0,,,5.256736153009456,0,0,0.0,-79.3913,-79.39129638671875,0.0,2228.871131240977
