# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,target_agent_return,target_solved_rate,sps
23,1784091347.4308407,,6.429708092473447,,3.493194419424981,,7.327957525849342,,1.3476030644960701,,3.1167302664835006,,1.2931242444028612,,3.432591874152422,,4.9375,0.0,0.0,0.0,0.0,3801088,1703,1856,116,-91.18559,0.06328058348735795,-0.002367123062140308,2.7431349098682403,0,0.0,0.0,0.0,,,0.8759477761507843,0,0,0.0,-84.51893,-84.51892852783203,0.0,1471.61150080851
24,1784091475.0001402,,6.280343662947416,,4.349722649203613,,6.907101646065712,,2.0931006368482485,,3.5915055591613054,,2.16649949317798,,4.063683496788144,,6.6875,0.0,0.0,0.0,0.0,3964928,1772,1936,121,-89.9278,0.06714038257487118,-0.00020556362869683653,2.6249936178326605,0,0.0,0.0,0.0,,,0.9782083744813054,0,0,0.0,-93.18124,-93.18123626708984,0.0,1284.3212694985323
25,1784091583.6208065,,5.210881261155009,,3.9106245199218392,,7.05942708067596,,1.4165136829251423,,3.349662022665143,,1.811753346119076,,3.4709852375090122,,6.125,0.0,0.0,0.0,0.0,4128768,1843,2016,126,-87.79257,0.062468637828715146,-0.001286234009603504,2.5032704517245294,0,0.0,0.0,0.0,,,0.9419632006026042,0,0,0.0,-88.35963,-88.35962677001953,0.0,1508.3687201270566
26,1784091690.6077278,,5.877262186259031,,3.51742152008228,,6.374941114336252,,1.8068119836971164,,3.405373222194612,,1.6525808640290052,,3.418915388174355,,6.375,0.0,0.0,0.0,0.0,4292608,1915,2096,131,-89.04147,0.061946499580517414,-0.0006386232969816774,2.4391970947384833,0,0.0,0.0,0.0,,,1.0315960779531679,0,0,0.0,-87.46063,-87.46063232421875,0.0,1531.4022300495265
27,1784091792.6032526,,5.543876515002921,,4.420002524275333,,6.785880150273442,,1.441656812094152,,3.02289049141109,,2.3078988899942487,,3.879388403147459,,5.3125,0.0,0.0,0.0,0.0,4456448,1987,2176,136,-88.709305,0.06290804790332913,-0.0010221436474239453,2.3637745812535287,0,0.0,0.0,0.0,,,1.0185250907478054,0,0,0.0,-84.60159,-84.60159301757812,0.0,1606.3534400180101
28,1784091902.2274504,,6.7541752476245165,,3.510892693302594,,6.220193421468139,,1.3973173184785992,,3.386953268200159,,1.6483053570846096,,3.113867319189012,,5.8125,0.0,0.0,0.0,0.0,4620288,2055,2256,141,-86.940315,0.06349351292010397,-0.0015491496189497412,2.2358936354517938,0,0.0,0.0,0.0,,,0.970725962275304,0,0,0.0,-98.55693,-98.55693054199219,0.0,1494.552984719101
29,1784092006.3521564,,5.820591119118035,,3.0099441343918443,,6.781989298760891,,1.2576186680234969,,3.177862484008074,,1.85413496743422,,3.4698076522909105,,5.1875,0.0,0.0,0.0,0.0,4784128,2128,2336,146,-87.484886,0.06550665430258959,-0.0011907811858691275,2.1659054130315782,0,0.0,0.0,0.0,,,1.1005654482166678,0,0,0.0,-86.33142,-86.3314208984375,0.0,1573.497975931256
30,1784092114.4105058,,5.372565979196224,,4.176184522220865,,7.20539590343833,,1.7350243456894532,,3.268865691497922,,1.2971896264934912,,3.313602404668927,,6.5,0.0,0.0,0.0,0.0,4947968,2201,2416,151,-91.803314,0.07286501973867417,-0.0009887435706332326,2.0925367712974547,0,0.0,0.0,0.0,,,1.0932150300575414,0,0,0.0,-84.144,-84.14399719238281,0.0,1516.2176317229673
31,1784092219.1602886,,6.059496863745153,,4.288706472143531,,7.398818489164114,,2.051280331797898,,3.621211349964142,,2.587796449661255,,3.8580665085464716,,6.125,0.0,0.0,0.0,0.0,5111808,2274,2496,156,-85.82232,0.07005660557188094,-0.001873347465880215,2.033171720802784,0,0.0,0.0,0.0,,,1.0812804899677952,0,0,0.0,-86.90709,-86.90708923339844,0.0,1564.1085402787287
32,1784092326.3202353,,4.56459803506732,,3.9952531433664262,,7.618237249553204,,1.7279498773132218,,3.7951668351888657,,1.3082928210496902,,3.363708406686783,,5.125,0.0,0.0,0.0,0.0,5275648,2350,2576,161,-86.240036,0.06898031933233142,-0.0015362864156486466,1.9476731084287167,0,0.0,0.0,0.0,,,1.0792425047394119,0,0,0.0,-86.34357,-86.34356689453125,0.0,1528.9295195497373
