# _tick,_time,plr_track_area,track_area,plr_track_perimeter,track_perimeter,plr_track_amplitude,track_amplitude,plr_track_convex,track_convex,plr_track_notches,track_notches,plr_track_complexity,track_complexity,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:CarRacingF1-Germany-v0,test_returns:CarRacingF1-Germany-v0,target_agent_return,target_solved_rate,sps
43,1784632015.340935,,68451.43798454845,,2342.2115085679397,,0.19950440810542558,,0.5169634467462327,,0.5190076030412164,,0.1862281330668094,0.0,0.0,0.0,0.0,432000,1219,3456,216,36.007618,0.014150155853712931,-0.022306378770736046,-1.8203099928796291,0,0.0,0.0,0.0,,,6.594838107521205,0,0,,,,,33.743318392814416
44,1784632387.1422105,,69352.2643813793,,2350.5474293364055,,0.20292520354989638,,0.5169634491596321,,0.5190076030412164,,0.1876484686247926,0.0,0.0,0.0,0.0,442000,1223,3536,221,80.57455,0.0376497078104876,-0.017529814798763255,-1.8058981895446777,0,0.0,0.0,0.0,,,6.050005029907963,0,0,,,,,26.896088640808017
45,1784632780.609189,,69132.33750348691,,2354.8104182871175,,0.19986897321666267,,0.51696345654982,,0.5190076030412164,,0.1863795046791554,0.0,0.0,0.0,0.0,452000,1232,3616,226,76.24782,0.042838253488298506,-0.015419923307490535,-1.8750309981405735,0,0.0,0.0,0.0,,,5.5563543983069685,0,0,1.0,510.87656,510.8765563964844,1.0,25.415093369689018
46,1784633124.5825398,,66518.07046336384,,2303.0774181921824,,0.20229589318168856,,0.5169634476013873,,0.5190076030412164,,0.1873871748205256,0.0,0.0,0.0,0.0,462000,1238,3696,231,61.559437,0.023890332522569224,-0.018206099688541144,-1.896655686199665,0,0.0,0.0,0.0,,,5.365199686525878,0,0,,,,,29.072019245875655
47,1784633473.2096858,,65801.66543858883,,2298.265819329757,,0.19993682771579993,,0.516963452993059,,0.5190076030412164,,0.18640767756856538,0.0,0.0,0.0,0.0,472000,1251,3776,236,17.473125,0.05691507854498923,-0.00763808807823807,-1.8726293556392193,0,0.0,0.0,0.0,,,5.58724870961557,0,0,,,,,28.68393883222075
48,1784633816.3286152,,63047.76931111446,,2248.0717778669946,,0.20091392392204593,,0.5169634532051651,,0.5190076030412164,,0.18681337389894215,0.0,0.0,0.0,0.0,482000,1265,3856,241,95.70107,0.02512396959355101,-0.017748669928550953,-1.9061788395047188,0,0.0,0.0,0.0,,,4.85243746189891,0,0,,,,,29.144414546054822
49,1784634161.4586978,,67200.26235111966,,2333.9063251243983,,0.19815676196899112,,0.5169634462163372,,0.5190076030412164,,0.1856685820880154,0.0,0.0,0.0,0.0,492000,1281,3936,246,124.7231,0.026466397452168167,-0.01809180092823226,-1.9627247415482998,0,0.0,0.0,0.0,,,4.281673521273272,0,0,,,,,28.974581967635263
50,1784634516.220438,,65284.7346934589,,2281.7634860674066,,0.2040895619911571,,0.5169634482235713,,0.5190076030412164,,0.18813191714452404,0.0,0.0,0.0,0.0,502000,1289,4016,251,205.79831,0.051141129923053086,-0.011757693675463088,-1.9413642920553684,0,0.0,0.0,0.0,,,6.400738981057086,0,0,1.0,644.83636,644.8363647460938,1.0,28.187932485586604
51,1784634854.7416627,,66854.06757205845,,2316.3826667136423,,0.19999995305579574,,0.5169634390854028,,0.5190076030412164,,0.18643388481215606,0.0,0.0,0.0,0.0,512000,1292,4096,256,100.15367,0.032526380964554846,-0.019039164846617496,-1.9810689352452755,0,0.0,0.0,0.0,,,4.571020690587296,0,0,,,,,29.540243492096558
52,1784635200.1786716,,65661.10160569107,,2279.8105433754217,,0.20533744789946956,,0.5169634512452823,,0.5190076030412164,,0.18865004756818,0.0,0.0,0.0,0.0,522000,1298,4176,261,82.79917,0.05911132215987891,-0.008410346970777027,-2.02796046808362,0,0.0,0.0,0.0,,,7.437608850765503,0,0,,,,,28.948841976377754
