# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
168,1784872758.3633766,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.388529012911022,,6.3475633764173836,,9.945281024673022,,1.129772195708938,,4.196406063158065,,2.20955134392716,,4.983403145801276,,8.1875,-0.02532327175140381,-0.006095082120737061,0.0010517130967855337,0.6906140521168709,0.25889259576797485,0.7895199656486511,0.20377205312252045,-0.013805018737912178,0.10298997908830643,0.3236702084541321,0.03123387135565281,8192,0.23785480856895447,5.673501014709473,0.03379838913679123,27557888,35003,13456,841,9.554589,0.008194904864649289,0.007527029181801481,-5.720275020599365,-71.85109,0.03068037166376598,0.00281300516508054,-4.121107676625252,,,static,5.845765668055662,5.101559631535798,1.262923114981647,0.0,-43.751457,2533.4710177600414,9.554589
169,1784872821.0770729,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.045898523414508,,6.038250990444794,,9.915744697675109,,1.0316627792781219,,4.010679776172765,,1.8864325169452059,,4.96639392231009,,8.0625,-0.003523861989378929,-0.003635831642895937,0.0008906800885597477,0.6946213413029909,0.22458335757255554,0.7912377119064331,0.1987704336643219,-0.7302929162979126,0.07015792280435562,0.5011448860168457,0.04595843330025673,8192,0.22414952516555786,5.494695663452148,0.040169596672058105,27721728,35213,13536,846,-17.583899,0.012921283417381347,0.00603083074602182,-5.771227538585663,-66.86916,0.02103341878973879,0.005160272360080853,-4.154234400391578,,,static,5.847941548631511,5.897596525903696,1.550255265643667,0.0,-72.89457,2612.507463789541,-17.583899
170,1784872883.852918,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.486742825713009,,6.626731901895255,,9.953758501447737,,1.2102168309502304,,4.220631008705823,,2.2167384144850075,,4.999956969197228,,8.4375,-0.03896994888782501,-0.006388965586666018,0.0020924809541611467,0.6953027136623859,0.24212510883808136,0.8492458462715149,0.2166382074356079,0.1713145673274994,0.12937316298484802,0.4766998887062073,0.04181746393442154,8192,0.20502501726150513,5.7690348625183105,0.04762635380029678,27885568,35420,13616,851,-15.112707,0.008944587571022566,0.009701098411460407,-5.703525921702385,-69.75255,0.026474347803741693,0.000862039570347406,-4.171660175919532,,,static,5.953627496912564,5.632878389839185,1.004479273468731,0.0,-66.40684,2609.921067185202,-15.112707
171,1784872946.1752796,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.624648028984666,,5.726554276421666,,9.646401855861768,,0.7953538523288444,,3.848405644064769,,1.8265812195604667,,4.855043788207695,,7.75,-0.026804091408848763,0.001010515377856791,0.0012870103964814916,0.69632120244205,0.1901513934135437,0.82346111536026,0.19028589129447937,-0.1378253549337387,0.11788036674261093,0.34930747747421265,0.033539798110723495,8192,0.2681369185447693,5.2591233253479,0.050669461488723755,28049408,35642,13696,856,-8.229705,0.00943057525146287,0.006794064580753911,-5.651992905139923,-56.219738,0.02447489863843657,0.004041794911609031,-4.201296126842498,,,static,6.0681246131388935,5.6145066763163785,1.4901545514399368,0.0,-50.028404,2628.911936240973,-8.229705
172,1784873008.556824,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.881042182678357,,6.029935439582914,,9.814702456817031,,0.9830264415941201,,3.967126814997755,,1.983574220445007,,4.865660704614129,,7.9375,0.005676177330315113,-0.003793322481215,0.002900440013036132,0.6853701993823051,0.3402612805366516,0.8517904877662659,0.2857080101966858,-0.3480542302131653,0.13269862532615662,0.32241010665893555,0.03336939960718155,8192,0.267602801322937,5.432821273803711,0.025894172489643097,28213248,35853,13776,861,-36.661877,0.018482540256809444,0.0068215857245377265,-5.693260303139686,-54.602654,0.012272007673163898,0.0044979939324548465,-4.250797346234322,,,static,6.63936072472423,5.739213943528533,1.4937015850495468,0.0,-63.044994,2626.4178041953583,-36.661877
173,1784873070.8504436,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.069446711800992,,5.923367153736763,,9.966706721868832,,1.0378366296645254,,4.1452194903977215,,2.065338261767465,,4.930311457253993,,8.0,0.026656467467546463,-0.011011065449565649,0.006400958693120629,0.6688471529632807,0.220261812210083,1.1378692388534546,0.1552814394235611,-0.03215589374303818,0.1615123599767685,0.33395665884017944,0.027374712750315666,8192,0.2392176240682602,5.51727819442749,0.03191204369068146,28377088,36073,13856,866,-9.623542,0.007703177278744988,0.006757029169239104,-5.696229869127274,-61.449028,0.01808015490532853,0.005026013545284513,-4.292067819833756,,,static,6.075207954619811,5.1101654638996745,1.669245512398787,0.0,-47.615837,2630.125120352673,-9.623542
174,1784873133.3245387,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.989883167902008,,5.867567523382604,,9.873262334614992,,0.9181656460277736,,4.063232665474061,,1.9593599265208468,,4.951371772447601,,8.125,0.005270735360682011,-0.004624401102773845,0.005168649178813212,0.6635159458965063,0.3381558060646057,0.9198181629180908,0.26717135310173035,0.23296698927879333,0.13088783621788025,0.4365740120410919,0.026344146579504013,8192,0.27641141414642334,5.468480587005615,0.027692873030900955,28540928,36250,13936,871,8.702681,0.005733705405145883,0.008124838097864994,-5.676588174700737,-45.939106,0.015459177090087905,0.002729654568247497,-4.3460508525371555,,,static,5.835216769313577,5.435916567508224,1.7543791376572344,0.0,-65.13987,2622.5267935658226,8.702681
175,1784873199.2946675,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.043607617320959,,6.236518514808267,,9.970784083241597,,1.0963379055028781,,4.14209746173583,,2.0212415491696447,,4.955157106320257,,8.1875,-0.009885610081255436,-0.005514098331332207,0.008506483121891506,0.6562347318977118,0.2867004871368408,0.8308794498443604,0.2267046868801117,-0.007690555416047573,0.11046639084815979,0.3205145299434662,0.02528635784983635,8192,0.2442418783903122,5.581655502319336,0.034026600420475006,28704768,36460,14016,876,-7.967574,0.008118657740124036,0.005209885140357073,-5.646385976672173,-36.516933,0.012464768995414488,0.005112726752122399,-4.370595982670784,,,static,5.910522895849847,5.645457584883516,1.9695803254278017,0.0,-40.615536,2483.548242247622,-7.967574
176,1784873263.0340636,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.980498700402677,,6.051992155378684,,9.831514181569219,,1.0047781504690647,,4.0007424481154885,,2.0444070452358574,,4.916243853978813,,8.0625,0.045694731175899506,0.000835033948533237,0.004973564915417228,0.6614167857915163,0.3710397183895111,0.826792299747467,0.32721880078315735,0.13445760309696198,0.21592389047145844,0.34878626465797424,0.02411467954516411,8192,0.24740168452262878,5.486584663391113,0.025652024894952774,28868608,36645,14096,881,-33.474876,0.012591058298130519,0.006571125933260191,-5.635826745629311,-31.83228,0.007295506304944866,0.003970710680732736,-4.365669837594032,,,static,5.722077235449888,6.109862683799562,1.7533739206325634,0.0,-73.1013,2570.4669671142906,-33.474876
177,1784873326.484901,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.085400511976331,,6.1899734733160585,,9.92781688645482,,1.0973874037154019,,4.0724310500663705,,2.007094803324435,,4.916083459742367,,8.1875,0.03310707211494446,0.004367908928543329,0.008623763482319191,0.6468449514359236,0.3867204487323761,0.8299429416656494,0.3145178556442261,-0.16167764365673065,0.18667258322238922,0.20509660243988037,0.01768350601196289,8192,0.2415943592786789,5.560461044311523,0.013808058574795723,29032448,36851,14176,886,-25.822275,0.014420933395740576,0.00696665453579044,-5.658668246865273,-22.2772,0.005888058742857538,0.002377847868774552,-4.385519102215767,,,static,5.984826552645968,5.935882774571428,1.6821849066262804,0.0,-76.94804,2582.1566776711193,-25.822275
178,1784873391.4800682,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.107921586139128,,6.100573162722867,,9.888615449890494,,1.050906434073113,,4.157293284988555,,2.052290176245151,,4.95772901060991,,8.1875,0.0051421718671917915,0.00036551570519804955,0.0014985250491008628,0.6507966741919518,0.28627508878707886,0.9754498600959778,0.22197404503822327,-0.004755634814500809,0.12330304831266403,0.2988378703594208,0.020461801439523697,8192,0.242411807179451,5.562854290008545,0.027202989906072617,29196288,37054,14256,891,-60.87385,0.020781647838884965,0.005438617366598919,-5.687276566028595,-17.868645,0.00820454621571116,0.0031677181003033185,-4.369976311922073,,,static,6.492432011846321,5.736749765661226,1.3607961156105297,0.0,-49.513287,2520.8028170476177,-60.87385
179,1784873453.8044035,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.135910912824329,,6.063212890994691,,9.938389576971531,,1.042235332657583,,4.099521842326794,,2.1236206327666878,,4.929291221204039,,8.0625,0.007436946965754032,-0.020300468429923058,0.0031843291617406067,0.6435210723429918,0.15335214138031006,0.8305310010910034,0.1299353837966919,0.018036464229226112,0.14009521901607513,0.2615891098976135,0.018109746277332306,8192,0.25311279296875,5.549335479736328,0.02835223451256752,29360128,37262,14336,896,-10.652688,0.01537770630675368,0.00427750208764337,-5.721181973814964,-31.328754,0.007858146209036932,0.007967849307169672,-4.383428984880448,,,static,6.084353225615602,6.767568906434346,1.5461771004936917,0.0,-66.93656,2628.8284463030336,-10.652688
180,1784873517.1224966,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.226324662362458,,6.087325200904161,,9.957585233729333,,1.1530770628742175,,4.1490038256160915,,2.083165752410423,,4.994104538112879,,8.25,-0.008225255645811558,0.00014925829600542784,0.008487586295814253,0.6330982223153114,0.19866149127483368,0.7275247573852539,0.15492701530456543,0.07131825387477875,0.12547369301319122,0.26211702823638916,0.018296830356121063,8192,0.24321885406970978,5.612573623657227,0.04349351301789284,29523968,37450,14416,901,-8.304682,0.011899080581497402,0.006788264645729214,-5.685126376152039,-22.007956,0.017676725814817475,0.0034894761265604757,-4.393733114004135,,,static,5.814459173129835,5.576559495539298,1.6344809113930927,0.0,-61.390877,2587.570182386873,-8.304682
181,1784873579.3607068,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.395720848115161,,6.4011611035093665,,9.932662286562845,,1.2071305277640931,,4.192078530439176,,2.1822856997605413,,4.999709091178374,,8.1875,-0.030333613976836205,0.0010651631746441126,0.0028779703643522225,0.6231610178947449,0.23922328650951385,0.8030551075935364,0.18424293398857117,0.22254729270935059,0.06280604004859924,0.20068687200546265,0.013813422992825508,8192,0.21189217269420624,5.687280654907227,0.02232557162642479,29687808,37652,14496,906,-49.359562,0.01812296033021994,0.004673856806766708,-5.674876603484154,-31.027386,0.01478931774618104,0.006891474006988574,-4.379979115724564,,,static,6.286263445607657,5.3786367161010045,1.3792817696350546,0.0,-64.01413,2632.46632130808,-49.359562
182,1784873641.6202443,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.224183690850623,,6.300233433023095,,9.976196070434526,,1.1600803548644762,,4.144417115021497,,2.251139111351222,,4.988871560432017,,8.0625,0.000568243907764554,-0.004023140587378293,0.0009955418190656928,0.6303368248045444,0.2649388611316681,1.010437250137329,0.19554679095745087,0.07974144071340561,0.09363219141960144,0.37636926770210266,0.021333487704396248,8192,0.19156530499458313,5.638452529907227,0.028737282380461693,29851648,37832,14576,911,-26.283743,0.012179513846058398,0.005613915520370938,-5.69752000272274,-41.37486,0.010655442083952948,0.002546901632740628,-4.391408336162567,,,static,6.10528048561857,5.97110672925812,1.279845687769349,0.0,-49.161583,2631.5646349135536,-26.283743
183,1784873703.819755,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.139615228399634,,6.111798720434308,,9.821661182912067,,1.0429084547795355,,4.107226315652952,,2.0301702042343095,,4.957732571288943,,8.0625,0.06627149134874344,0.0003145431401208043,0.006055352205294184,0.6274207346141338,0.21273528039455414,0.891948938369751,0.14727109670639038,0.053861312568187714,0.2750219404697418,0.3491518199443817,0.017592407763004303,8192,0.25272122025489807,5.5342020988464355,0.026737172156572342,30015488,38028,14656,916,-9.27845,0.00941509972908534,0.008011514641111717,-5.661003717780114,-31.24596,0.007968538065324538,0.005679998603591229,-4.34846982061863,,,static,6.059673206271393,6.507808770374841,1.4360962942723647,0.0,-62.89678,2634.1042928104703,-9.27845
184,1784873767.5788474,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.953083694563247,,5.887777237483533,,9.858153578243218,,0.9993155472329818,,3.936249933714862,,1.9530946663580835,,4.883351180586033,,8.0,0.0016473106807097793,-0.004373249830678105,0.0008814154762148974,0.6255359072238207,0.18606925010681152,0.8737440705299377,0.13374242186546326,-0.1512724608182907,0.08137519657611847,0.3264579772949219,0.018701301887631416,8192,0.20337986946105957,5.433878421783447,0.029566003009676933,30179328,38214,14736,921,-2.5801384,0.006250475130218547,0.00575773286545882,-5.688894975185394,-31.760168,0.00906655330763897,0.003312571576680057,-4.3345293432474135,,,static,5.6761793341074895,5.261591074121911,1.527199419514247,0.0,-44.528717,2569.6727605188676,-2.5801384
185,1784873829.732528,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.105425077839755,,6.030806374037638,,9.863615146256052,,1.0565322492620908,,3.9849066447932273,,2.0649419714463875,,4.960227448842488,,8.125,-0.019469236955046654,-0.005180915293749422,0.006616794955334626,0.6154249832034111,0.2911671996116638,0.7875592112541199,0.19357003271579742,0.0815533846616745,0.06352195888757706,0.3312496840953827,0.017163962125778198,8192,0.25985145568847656,5.523931980133057,0.025534437969326973,30343168,38401,14816,926,-25.551327,0.009831079629657324,0.007308989702141844,-5.745607689023018,-42.518787,0.006733880771207623,0.005317838332848624,-4.341137906908989,,,static,6.2012140452412385,6.189564599029402,2.0619619933693216,0.0,-49.4544,2636.0466247772997,-25.551327
