# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Medium-Eval-v0,test_returns:BipedalWalker-MADS-Medium-Eval-v0,target_agent_return,target_solved_rate,sps
128,1784905336.0281687,,5.849986230023205,,3.1995263160206378,,6.498728692531586,,1.2359670153819025,,3.3212319086305797,,1.502944624517113,,2.8991533047519624,,4.375,0.0,0.0,0.0,0.0,21004288,9726,10256,641,-84.405014,0.07165060124825687,0.0011732956998457666,-2.151006726920605,0,0.0,0.0,0.0,,,3.1804016515667546,0,0,0.0,-55.831856,-55.83185577392578,0.0,3908.849579504932
129,1784905377.0061834,,5.457811467349529,,4.169322652742267,,7.4650705978274345,,1.4753762143664062,,3.037003451026976,,1.070826038485393,,3.699931027367711,,5.25,0.0,0.0,0.0,0.0,21168128,9796,10336,646,-81.52268,0.07479907900560648,0.0016826075476274126,-2.1426945462822915,0,0.0,0.0,0.0,,,3.147460996814918,0,0,0.0,-85.92788,-85.9278793334961,0.0,3998.2410496951084
130,1784905430.989203,,5.656298131762014,,2.7878812421113253,,7.286618696525693,,1.1223478324632197,,2.4740228056907654,,1.325803157669725,,3.2596425525844097,,4.875,0.0,0.0,0.0,0.0,21331968,9865,10416,651,-83.41243,0.06844412703067064,0.0015597449411870912,-2.16016621440649,0,0.0,0.0,0.0,,,3.3947761553910554,0,0,0.0,-87.78118,-87.78118133544922,0.0,3035.0285571699587
131,1784905471.9054546,,5.318586770445108,,3.3861973299644887,,6.989343333989382,,0.9842396905878559,,1.9720608601346612,,1.4204378638532944,,3.2281672209501266,,4.625,0.0,0.0,0.0,0.0,21495808,9935,10496,656,-84.14109,0.07084117233753204,0.0025049837844562718,-2.18592504709959,0,0.0,0.0,0.0,,,3.2840884722008226,0,0,0.0,-74.83098,-74.83097839355469,0.0,4004.2788812027047
132,1784905525.2692065,,5.442750201909803,,2.498189292382449,,6.492684381082654,,1.3727728638332337,,3.389827609062195,,1.4686279080342501,,3.137640468776226,,4.8125,0.0,0.0,0.0,0.0,21659648,10006,10576,661,-83.60035,0.0633202442433685,0.00265797650499735,-2.1995886623859406,0,0.0,0.0,0.0,,,3.5124505471985104,0,0,0.0,-61.60597,-61.6059684753418,0.0,3070.2477234832995
133,1784905566.915555,,5.542878592386842,,2.840324257267639,,6.443104697391391,,1.1801576131256297,,2.3082593688741326,,1.3177221370278858,,3.0782741121947765,,5.8125,0.0,0.0,0.0,0.0,21823488,10074,10656,666,-82.1322,0.08119809452909976,0.0021989866509102285,-2.2487104550004005,0,0.0,0.0,0.0,,,3.3620586394239944,0,0,0.0,-62.542126,-62.5421257019043,0.0,3934.0781493425943
134,1784905608.4813616,,6.139639079628978,,2.721256280783564,,7.244688728824258,,1.2872093534679152,,2.9699534410610795,,1.1902547325007617,,3.385680578649044,,4.8125,0.0,0.0,0.0,0.0,21987328,10143,10736,671,-84.38998,0.06902221841737628,0.0020200338010909038,-2.255773149430752,0,0.0,0.0,0.0,,,3.4187948884613997,0,0,0.0,-69.93087,-69.93087005615234,0.0,3941.7013013098804
135,1784905661.911496,,4.60441661067307,,3.673059158027172,,7.514770515263081,,1.1678839358501136,,3.4460264956578612,,1.8270466054673307,,3.6456961184740067,,5.1875,0.0,0.0,0.0,0.0,22151168,10210,10816,676,-84.25777,0.06595771166030318,0.0015378313590190373,-2.3051485821604727,0,0.0,0.0,0.0,,,3.5632163670013184,0,0,0.0,-78.13821,-78.1382064819336,0.0,3066.434294709328
136,1784905705.2274265,,4.971625134348869,,2.282045336905867,,6.7079687980003655,,1.4375493885017931,,2.4516856111586094,,1.949772050138563,,3.58663541264832,,4.6875,0.0,0.0,0.0,0.0,22315008,10279,10896,681,-85.30323,0.07505905090365558,0.001414332412969088,-2.3241564318537713,0,0.0,0.0,0.0,,,3.3958065977167045,0,0,0.0,-86.42364,-86.42363739013672,0.0,3782.444794995281
137,1784905748.2707136,,6.050695502199233,,3.8283401331864297,,7.6545054744929075,,1.4921151609814842,,3.0666332703549415,,1.1738245346350595,,3.0829044803977013,,4.5,0.0,0.0,0.0,0.0,22478848,10346,10976,686,-84.78892,0.07081772736273706,0.0024532807845389472,-2.3730494558811186,0,0.0,0.0,0.0,,,3.6891894408441885,0,0,0.0,-74.81017,-74.81017303466797,0.0,3806.398393132471
138,1784905803.701768,,3.940507546067238,,4.263040747027844,,7.5092970952391624,,1.292164234619122,,3.0062355659902096,,0.8120584959397092,,2.885151959490031,,5.3125,0.0,0.0,0.0,0.0,22642688,10411,11056,691,-79.29008,0.06342300258111208,0.0005766859438153915,-2.4046434670686723,0,0.0,0.0,0.0,,,3.4039750600959153,0,0,0.0,-68.61705,-68.61705017089844,0.0,2955.744544618729
139,1784905846.1607578,,5.792560018599033,,3.395791812799871,,7.10987089201808,,1.0579701839014888,,2.7272314997389913,,1.7532556281366851,,3.2119384221732616,,3.625,0.0,0.0,0.0,0.0,22806528,10477,11136,696,-81.608315,0.07412524388637394,0.0034048301309667294,-2.46729916036129,0,0.0,0.0,0.0,,,3.7883847825435355,0,0,0.0,-71.73979,-71.73979187011719,0.0,3858.78225495867
140,1784905889.8405507,,5.8024059678427875,,4.243849029298872,,7.687678625807166,,1.2973061867523938,,2.4891940178349614,,1.2923068355303258,,3.049105079844594,,4.4375,0.0,0.0,0.0,0.0,22970368,10542,11216,701,-78.41015,0.06472485014237464,0.001666774165641982,-2.518973317742348,0,0.0,0.0,0.0,,,3.756190660988662,0,0,0.0,-76.528114,-76.52811431884766,0.0,3750.932761153143
141,1784905945.3318024,,3.831722466275096,,3.811436436517397,,6.572283748537302,,1.1881341085245367,,2.77237496804446,,0.8160252853122074,,3.202170436270535,,5.4375,0.0,0.0,0.0,0.0,23134208,10611,11296,706,-80.663345,0.07441081206779927,0.0025802321142691653,-2.580414019525051,0,0.0,0.0,0.0,,,3.699457632974127,0,0,0.0,-96.917114,-96.9171142578125,0.0,2952.538788604044
142,1784905987.4868996,,5.828900762135163,,3.2382640370633453,,6.871555169345811,,1.2311699315614533,,2.7148227905854583,,1.2382089952006936,,3.6334726959466934,,4.375,0.0,0.0,0.0,0.0,23298048,10678,11376,711,-82.27562,0.06912455884739757,0.0022350625644321554,-2.605284798145294,0,0.0,0.0,0.0,,,3.683635017004945,0,0,0.0,-91.57029,-91.5702896118164,0.0,3886.597540439055
143,1784906031.6646369,,4.786792879458517,,3.974901754409075,,7.00456059537828,,1.4085596315271687,,2.653818712569773,,2.0080153969320236,,3.496714651118964,,4.1875,0.0,0.0,0.0,0.0,23461888,10749,11456,716,-81.10271,0.09007534424308687,0.0025001049347338268,-2.605625383555889,0,0.0,0.0,0.0,,,3.4514365263464635,0,0,0.0,-67.96234,-67.96234130859375,0.0,3708.6590237365244
144,1784906086.9112089,,5.222611576318741,,3.7010891595855355,,6.925927121192217,,1.047082384757232,,3.0533389933407307,,1.4352518714076723,,3.492711056023836,,5.0625,0.0,0.0,0.0,0.0,23625728,10818,11536,721,-81.12779,0.0682555771432817,0.0019948761808336714,-2.6489352002739905,0,0.0,0.0,0.0,,,3.7794356389148227,0,0,0.0,-68.437706,-68.43770599365234,0.0,2965.6116804587286
145,1784906129.4364793,,5.511814691126347,,3.4091746457852423,,6.9594004191458225,,1.5755331408581696,,3.2309023989364505,,1.826289037708193,,3.5598618094809353,,4.125,0.0,0.0,0.0,0.0,23789568,10886,11616,726,-84.87272,0.07693342596758157,0.0036873713004752064,-2.700333745777607,0,0.0,0.0,0.0,,,3.836461480759907,0,0,0.0,-61.017128,-61.017127990722656,0.0,3852.7684827522053
146,1784906186.3546855,,5.4690969828516245,,3.529330586316064,,7.063222490251064,,1.7494166287360713,,2.8352897916920483,,1.9183377700392157,,3.4788555186241865,,4.8125,0.0,0.0,0.0,0.0,23953408,10955,11696,731,-84.86628,0.06641143076121807,0.0032634864925057626,-2.742369544506073,0,0.0,0.0,0.0,,,4.131172522421981,0,0,0.0,-61.21114,-61.21113967895508,0.0,2878.517437208038
147,1784906229.2872481,,5.1100254245102406,,3.1131049876421457,,7.336146719753742,,1.4003266545478255,,3.396643530577421,,1.0755451075965539,,2.9984905454330146,,4.6875,0.0,0.0,0.0,0.0,24117248,11029,11776,736,-79.282036,0.08323027058504522,0.003074786933575524,-2.762277255952358,0,0.0,0.0,0.0,,,3.872143332529666,0,0,0.0,-46.72935,-46.72935104370117,0.0,3816.2150990376304
148,1784906271.3375783,,6.240049449261278,,3.868786843959242,,7.649328280240297,,1.2861270012217574,,3.2269897661171854,,1.4708180919478764,,3.6907311249524355,,4.875,0.0,0.0,0.0,0.0,24281088,11099,11856,741,-89.36832,0.06852447225246579,0.0024535821881727315,-2.786133702099323,0,0.0,0.0,0.0,,,3.812039102230254,0,0,0.0,-73.67786,-73.6778564453125,0.0,3896.283729754332
149,1784906328.2791862,,5.476776892319322,,3.681949235033244,,7.275719810277224,,1.1067547439597547,,3.2866148371249437,,1.442484307626728,,3.4476889576762915,,4.0625,0.0,0.0,0.0,0.0,24444928,11168,11936,746,-85.020065,0.07860372643917798,0.003654932847712189,-2.850086036324501,0,0.0,0.0,0.0,,,4.006359858521478,0,0,0.0,-64.80467,-64.80467224121094,0.0,2877.3334349650936
150,1784906372.2070732,,6.2624848872656,,3.6689968104474247,,7.417413797229528,,1.8834297981811687,,3.8558790646493435,,1.7884915141621605,,3.6152632953599095,,4.25,0.0,0.0,0.0,0.0,24608768,11245,12016,751,-82.73473,0.08813670573290437,0.0025566319964127615,-2.8696783065795897,0,0.0,0.0,0.0,,,3.4856152654344554,0,0,0.0,-49.939,-49.93899917602539,0.0,3729.7498366881155
151,1784906428.3897874,,4.80687543284148,,3.6932421405799687,,6.974986772984266,,1.6715849738102406,,3.3361899154260755,,1.0757707833545282,,2.941590982954949,,3.625,0.0,0.0,0.0,0.0,24772608,11322,12096,756,-75.295334,0.07598479413427413,0.001273319573374465,-2.8661816254258157,0,0.0,0.0,0.0,,,3.7811841104575423,0,0,0.0,-76.8966,-76.89659881591797,0.0,2916.199033739471
152,1784906472.5861676,,4.1174120851792395,,2.5621972139924765,,6.529184989631176,,1.5561725685256533,,3.6266322899609804,,1.4985716530645732,,3.521125608822331,,4.8125,0.0,0.0,0.0,0.0,24936448,11397,12176,761,-78.55638,0.08286196219269186,0.003111645557510201,-2.8563499197363855,0,0.0,0.0,0.0,,,3.8450851543235225,0,0,0.0,-66.16481,-66.16481018066406,0.0,3707.09167885483
