# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps,target_agent_return
10,1784863508.5858185,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.8213483793661,,4.484797467011958,,6.74544048786629,,1.8507205955684185,,2.4815830657607876,-0.1321800798177719,-0.03586111718323082,0.006596424407689483,1.3985113948583603,0.7745296359062195,0.8786997199058533,0.7676355242729187,0.03851998969912529,0.07592906802892685,1.19559645652771,0.5121406316757202,816,0.4352724552154541,4.076777935028076,0.017094498500227928,1671168,2705,816,51,-127.36759,0.02015567137859762,-0.0009665385252446868,4.114718416333199,-120.97044,0.02207917253836058,-0.0031382565313833764,3.5997081130743025,,,static,0.5829760990508819,0.6794305817734705,0.8779827899672648,0.0,-119.20016,2182.443807478337,-127.36759
11,1784863583.1744473,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.374197775498033,,5.433437125757337,,7.506213452666998,,2.13878069830389,,3.0006066355854273,-0.1258063018321991,-0.005474322068039328,0.03337867384107085,1.4055745862424374,0.6312274932861328,0.8896613717079163,0.47200295329093933,0.15155960619449615,0.06980044394731522,1.3046619892120361,0.4557064175605774,896,0.42180293798446655,4.690647602081299,0.00927500706166029,1835008,2906,896,56,-136.38097,0.024894152011256665,-0.0007055136942653917,4.005090668797493,-107.56038,0.015617237199330702,-0.002872843245859258,3.387296976149082,,,static,0.6426485471996354,0.7056153627663942,1.25726769125145,0.0,-115.15725,2196.5808904059795,-136.38097
12,1784863657.8376317,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.854477486107498,,5.428890030831099,,8.062236338853836,,2.3134816193487495,,3.0549774785758927,-0.19145262241363525,-0.01933152863784926,0.001448889464882086,1.4092923365533352,0.5569356083869934,0.9515216946601868,0.3321409821510315,0.12468379735946655,0.10460998862981796,1.2959725856781006,0.44501733779907227,976,0.32163986563682556,4.942812919616699,0.007304734084755182,1998848,3087,976,61,-128.74442,0.013172720253351144,-0.0016009229177143425,3.8508124977350233,-96.32955,0.009614803522708826,-0.001755502801097464,3.122807244956493,,,static,0.608090854789239,0.808707151338437,0.4751534517709902,0.0,-111.11519,2194.3886409877214,-128.74442
13,1784863733.3277204,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.950625493074767,,4.349797548522474,,7.061787934042513,,1.739381445106119,,2.589715992100537,-0.11709095537662506,-0.012724357657134533,0.0028646626815316267,1.4196758307516575,0.584318220615387,0.881126880645752,0.5407193899154663,-0.058922309428453445,0.06844726204872131,1.307732343673706,0.4184633195400238,1056,0.4466537833213806,4.138261318206787,0.031388863921165466,2162688,3274,1056,66,-121.36688,0.01553381544072181,-0.0010719341356889346,3.7581021055579185,-100.28941,0.022027539112605153,-0.00411950602720026,2.8665188759565354,,,static,0.6961254308284037,0.8162959080711125,0.9079153017591486,0.0,-125.192444,2170.350403229255,-121.36688
14,1784863807.8102174,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.746479721274227,,3.9561569900251925,,6.4635526719503105,,1.6445257801096886,,2.5034541659988463,-0.17408454418182373,6.514802225865424e-05,0.003891568980179727,1.419617410749197,0.6706341505050659,0.8038350343704224,0.6048659682273865,-0.15488968789577484,0.11278355866670609,0.9728171825408936,0.41927528381347656,1136,0.2922631800174713,3.8628342151641846,0.025816168636083603,2326528,3473,1136,71,-129.98183,0.02059066065121442,-0.001357391505734995,3.650569163262844,-101.59604,0.019381964654894546,-0.0019034064331208355,2.705766098201275,,,static,0.6923650338075046,0.9107907348609491,1.0840297369216827,0.0,-101.58516,2199.712045072961,-129.98183
15,1784863881.9656498,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.470620645210147,,4.757037012837827,,7.18267268827185,,1.9200198927428573,,2.843223410542123,-0.08504313230514526,-0.002060709288343787,0.29124064242932945,1.4359162598848343,0.7941882014274597,0.8642259836196899,0.7329440116882324,0.00960785523056984,0.14482702314853668,0.9471021294593811,0.3746635913848877,1216,0.5085875391960144,4.4347147941589355,0.02025051973760128,2490368,3681,1216,76,-161.48898,0.019224813539767637,-0.000576409099448938,3.534498092532158,-99.6779,0.02330940148094669,-0.002115711832448142,2.5175498977303503,,,static,0.7019615079804875,0.8734471992944541,2.4248815796822423,0.0,-117.66976,2209.4128872084257,-161.48898
16,1784863958.1414862,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.808942663483322,,5.21095828525722,,7.450102646835148,,2.19258946320042,,2.9499237365089357,-0.10123316943645477,-0.004328111961513059,0.016178304904315155,1.4407464601099491,0.6731114387512207,0.8977033495903015,0.5968238711357117,0.06041786074638367,0.1022523045539856,0.91917884349823,0.3126192092895508,1296,0.39965859055519104,4.722503662109375,0.008859128691256046,2654208,3870,1296,81,-152.75449,0.018498516408726573,-0.0006287149299168959,3.4059099212288855,-91.07588,0.010527164465747774,-0.0014711972122313454,2.2933291852474214,,,static,0.7427081501629396,0.9772498387226026,0.8323042778551604,0.0,-141.69691,2150.814918327654,-152.75449
17,1784864035.1746616,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.525693563686218,,5.021519523113966,,7.48295157472603,,2.1289911547210068,,2.850359147763811,-0.07487882673740387,0.0010603968985378742,0.0574497669149423,1.4444408863782883,0.6272495985031128,0.8560866713523865,0.5997165441513062,0.10105983912944794,0.18325701355934143,0.9762912392616272,0.2819680869579315,1376,0.49348965287208557,4.601902961730957,0.056296199560165405,2818048,4075,1376,86,-146.16438,0.024806140834698454,-0.0011124156677396967,3.2074432536959647,-84.84804,0.01963138054416049,-0.002497994176519569,2.041965399682522,,,static,0.8875262194843497,0.8677869181130141,1.4805064069221603,0.0,-117.11589,2126.874074675788,-146.16438
18,1784864110.7133682,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.618692930787802,,5.1948476798133925,,7.6131722293794155,,2.056250679772347,,2.8195752752944827,-0.09126006811857224,-0.004789617443748284,0.011953700151934754,1.452858243137598,0.7025325894355774,0.878506064414978,0.7614973783493042,-0.12143849581480026,0.19695629179477692,1.0557451248168945,0.2595891058444977,1456,0.4944137632846832,4.660508155822754,0.03148460015654564,2981888,4304,1456,91,-145.63293,0.027451787336030976,-0.0006132832510047592,3.0254598006606104,-88.71291,0.013644404857768678,-0.0018520510697271676,1.8460506476461886,,,static,0.9150750111676198,0.9886049664582132,1.1171943993937563,0.0,-123.3339,2168.9550659807232,-145.63293
19,1784864187.8716173,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.776973806321621,,4.36669292091392,,6.810105815064162,,1.762669080402702,,2.535102793946862,-0.11077035963535309,-0.016889802926016273,0.014171172326314263,1.4536314830183983,0.44418397545814514,0.8534871935844421,0.30291637778282166,-0.09206283837556839,0.17886832356452942,1.0057611465454102,0.251324862241745,1536,0.46816134452819824,4.050309181213379,0.009388437494635582,3145728,4487,1536,96,-101.83498,0.017422116606030612,-0.0005392928229412064,2.8447666600346566,-67.89099,0.006688416996621527,-0.0009138326320680789,1.5758922390639782,,,static,0.9289533050691567,1.254081030257978,0.8465216026499393,0.0,-114.66011,2123.4274112753624,-101.83498
20,1784864265.9031334,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.6410040482878685,,5.294612511293963,,7.632750543765724,,2.228560629358981,,3.0514355273917317,-0.11445342004299164,-0.005312207780661993,0.010362724890001118,1.465483233332634,0.5780556201934814,0.8751987218856812,0.5127320885658264,0.09134618937969208,0.14618338644504547,0.8002008199691772,0.2716670334339142,1616,0.4251057207584381,4.769672870635986,0.03404279053211212,3309568,4661,1616,101,-113.06663,0.018981670041102915,-0.0005430811695987358,2.716488818824291,-77.023575,0.017612325164373034,-0.001009891152352793,1.369387647509575,,,static,0.9106131489673039,1.1367911531763704,0.7390581187697209,0.0,-133.40286,2099.664473290493,-113.06663
21,1784864343.6669977,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.771092955954373,,4.930212584207766,,7.5942604024894536,,2.160523415543139,,2.8710015505785123,-0.0952070876955986,0.000726806465536356,0.04725320548459422,1.4610562585294247,0.4953828752040863,0.744721531867981,0.3894343674182892,0.12377633899450302,0.11055879294872284,0.8157520294189453,0.2155146598815918,1696,0.43389368057250977,4.6654181480407715,0.008231314830482006,3473408,4842,1696,106,-96.02455,0.005832590322825126,-0.0007880949167883955,2.547223815321922,-69.09064,0.008784715774527285,0.00010984105028910562,1.1884653978049755,,,static,0.9514388760947329,1.224487615827262,1.2925669465418446,0.0,-123.480606,2106.8922723582336,-96.02455
22,1784864419.9135451,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.145083428360522,,4.9351681202533655,,7.42036965675652,,2.0443347201216966,,2.814130715560168,-0.10508999228477478,-0.008608709622421884,0.005782035121228546,1.4569788463413715,0.6882657408714294,0.8184232115745544,0.7080846428871155,0.1304779052734375,0.1354854851961136,0.7509976029396057,0.19575738906860352,1776,0.5124303102493286,4.471817493438721,0.09470772743225098,3637248,5024,1776,111,-89.24035,0.007940144001622684,-0.0012519631505711003,2.3570890560746194,-80.13353,0.03516608439385891,-0.001360544348426629,1.0022255260497333,,,static,0.9548230570195141,1.212641528577026,0.8305613856113605,0.0,-98.34381,2148.817429530211,-89.24035
23,1784864495.6911654,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.139837773516774,,4.671141667291522,,6.886994635286101,,1.8756040619628038,,2.547361710545374,-0.048114508390426636,-0.014128975220955908,0.0344045860983897,1.4499746598303318,0.5564931631088257,0.856857180595398,0.43364661931991577,0.40942245721817017,0.26521989703178406,0.8528200387954712,0.1772998571395874,1856,0.4911254048347473,4.224187850952148,0.01446988619863987,3801088,5186,1856,116,-79.49171,0.0054625704549835065,-0.0014047660428332166,2.1247268617153168,-62.553307,0.0071774752024794,-0.0011622567879385314,0.8109326031059026,,,static,0.9748963714153493,1.5286754284092006,1.1520947610386396,0.0,-97.31532,2162.1161256608298,-79.49171
24,1784864572.906159,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.826366614550352,,5.396905687288381,,7.544799953320762,,2.2679668904747814,,3.0325516507728025,-0.154758021235466,-0.025587966025341302,0.007274302141013322,1.4555132985115051,0.6534609794616699,0.865382969379425,0.5835582613945007,-0.05258755385875702,0.08440090715885162,0.7382229566574097,0.18421125411987305,1936,0.4136088788509369,4.813717842102051,0.04876871034502983,3964928,5363,1936,121,-90.319084,0.013317525087040849,-0.001457710628892528,1.9427874729037284,-94.995285,0.029849168815417215,5.6562155077699575e-05,0.650239760056138,,,static,1.0245393773559497,1.408680092547013,0.6448447041204531,0.0,-105.53627,2121.8674875898146,-90.319084
25,1784864650.0525026,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.013124266639352,,4.6074808784760535,,7.0691013457253575,,1.8697839677333832,,2.6844702240196057,-0.0811019316315651,-0.0061101952160242945,0.019749039165617432,1.4543159529566765,0.6665836572647095,0.7798944711685181,0.5921074748039246,0.1451970934867859,0.11959255486726761,0.7087582349777222,0.1632108837366104,2016,0.4674070477485657,4.2487921714782715,0.023281706497073174,4128768,5554,2016,126,-77.6644,0.008102666534250602,-0.000895633916661609,1.7970673643052577,-83.59812,0.019865500397281723,-0.0005924529061303474,0.5326756495982409,,,static,1.0104651793205792,1.5608082933513003,0.8889119661870806,0.0,-83.26975,2123.7559313963884,-77.6644
26,1784864730.3035324,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.315079263411462,,4.753372761886567,,7.2800439251586795,,1.99682227554149,,2.8174411078798585,-0.08584688603878021,0.00021030253265053034,0.005549874280404765,1.4425716809928417,0.4506201148033142,0.936249315738678,0.34018704295158386,0.12437886744737625,0.16608451306819916,0.8705360889434814,0.14289700984954834,2096,0.5140392184257507,4.432551860809326,0.014625566080212593,4292608,5727,2096,131,-73.03515,0.010673649421369192,-0.0003263073886046186,1.689000242203474,-55.63783,0.011567717455909588,0.0006397186338290339,0.3781594794243574,,,static,1.019029930229932,1.5493535118031567,0.7503512546427716,0.0,-97.82353,2041.593710376956,-73.03515
27,1784864806.4330132,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.5653145224787295,,5.119684927340131,,7.5590285286307335,,2.260978522710502,,2.9375532157719135,-0.04358595237135887,-0.012991830095415935,0.03340069734258577,1.4282399788498878,0.42167308926582336,0.7937542200088501,0.3272351920604706,0.017828714102506638,0.37851935625076294,0.8459652662277222,0.1391471028327942,2176,0.49060559272766113,4.688511848449707,0.01207976695150137,4456448,5895,2176,136,-63.81494,0.00938173518225085,-0.0001613966975128278,1.5384295597672462,-45.89193,0.008948640097514726,0.000554929961799644,0.17122760144993662,,,static,1.1659572396844617,1.6251286592059713,1.0517159316924296,0.0,-81.33128,2152.123783303619,-63.81494
28,1784864881.3072488,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.118109496310353,,4.426688123494387,,7.01649966952391,,1.9086266795638949,,2.7262335624545813,-0.11655419319868088,-0.01747021992923692,0.0067800361139234155,1.428563915193081,0.5343409180641174,0.804465651512146,0.5333281755447388,-0.16412822902202606,0.1652454435825348,0.9138582944869995,0.11603236198425293,2256,0.5338203310966492,4.239232063293457,0.017847219482064247,4620288,6069,2256,141,-74.74541,0.009921427005610894,-0.0012356689519947394,1.3792861938476562,-57.12324,0.006681672886770684,0.000374312256462872,-0.03209742680191994,,,static,1.2027778493911865,1.8205970119556887,0.9498267176558837,0.0,-88.49306,2188.2017610683256,-74.74541
29,1784864958.84718,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.3085910405498,,5.0511276291217655,,7.249143864493817,,1.988114888081327,,2.9509463058784604,-0.07776336371898651,-0.007649696432054043,0.012059729808242992,1.4311828576028347,0.6349006295204163,0.7919471859931946,0.595040500164032,-0.011367134749889374,0.1970214992761612,0.7974720001220703,0.12410727143287659,2336,0.5018844604492188,4.509585380554199,0.02064882032573223,4784128,6245,2336,146,-85.20955,0.01973690716549754,2.4740793742239474e-05,1.224627524614334,-73.43355,0.008937935600988567,0.00022592719760723413,-0.18532321928068995,,,static,1.2154713327835758,1.893811499524506,0.9281394746722514,0.0,-93.95728,2112.9786135874406,-85.20955
