# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,sps
248,1784315350.1013043,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.702017687261105,,5.122153302887455,,7.168908373801969,,1.832328125135973,,2.411922747269273,-0.16767853498458862,-0.0013010666516493075,0.03221474215388298,1.856040634214878,40665088,45408,19856,1241,-2.718624,0.0076777752241468985,0.0019481616400298662,-4.50496287047863,-28.988047,0.010349594621220603,0.002010370876814704,-4.503641986846924,,,0.95,0.9,3.2295211758805182,3.642961169712625,0.39929944735898165,0.0,-20.140713,565.2163540510103
249,1784315613.3860774,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.570138234877959,,6.048667525872588,,7.378781960811466,,1.8641186370514333,,2.87719417642802,-0.17873555421829224,-0.0005853563343407586,0.017313186021056026,1.85381243750453,40828928,45585,19936,1246,-1.8945252,0.00901218282233458,0.00022202370164450257,-4.5439744114875795,-36.751595,0.00815087257360574,0.0003478416329016909,-4.560557159781456,,,0.95,0.9,2.90657507138187,3.5595036709331196,0.4717197276772987,0.0,-52.829235,622.2920880504132
250,1784315854.729639,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.775509810075164,,5.42221503239125,,7.080942474945914,,1.7712012818083167,,2.678043982480631,-0.15173718333244324,0.00020606978796422482,0.033599291171412915,1.8552631698548794,40992768,45752,20016,1251,5.781508,0.007996996698784642,0.00041583057172829286,-4.521860930323601,-57.519188,0.016080904557020402,0.00156351307668956,-4.529343205690384,,,0.95,0.9,3.0919765177395777,3.5204552012366803,0.6068516974307757,0.0,-16.635197,678.8661420108929
251,1784316143.7327454,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.459098885767162,,5.799048770975787,,7.2647335967049,,2.0830933284014463,,2.835035353433341,-0.07490669190883636,-0.0015388603278552182,0.007135142921470106,1.8533351421356201,41156608,45914,20096,1256,-2.77724,0.008469567680731416,0.0019361028796993196,-4.505782324075699,-1.2543608,0.00865167039737571,0.0017421693191863596,-4.542589038610458,,,0.95,0.9,3.1198848515383095,3.2834088494866775,0.37325535512370656,0.0,-2.0186944,566.9143009012838
252,1784316405.1636786,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.284801566507667,,5.832554590888321,,7.573280280455947,,2.036762780509889,,2.814735340885818,-0.010222005657851696,7.905653910711408e-05,0.004904506342427339,1.8637146055698395,41320448,46076,20176,1261,-2.4207184,0.007586929846729618,0.0031212041765684264,-4.531773117184639,-7.9145064,0.007811421556107234,0.00092964704381302,-4.583141121268272,,,0.95,0.9,3.307534316666608,3.3932182668696482,0.3392060491264356,0.0,-60.128155,626.7047597872279
253,1784316702.0266736,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.150455829454586,,5.504508734447882,,7.575769739225507,,2.0031769960187376,,2.7563383816741407,0.057249970734119415,-0.019651897280709818,0.05621724494267255,1.8569468781352043,41484288,46252,20256,1266,6.641144,0.007836049629258924,0.0008617162238806486,-4.58373299241066,-18.907827,0.008664263880928048,0.00023878289212007076,-4.627875956892967,,,0.95,0.9,3.1524565250430356,3.728552775700719,0.49984604057232185,0.0,-16.043194,551.9043961496149
254,1784316969.7446957,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.0654251947999,,5.52071618847549,,6.9966020584106445,,1.910878574475646,,2.8485057114157826,-0.9623915553092957,-0.012492081219534157,0.6878657863708213,1.8584161959588528,41648128,46431,20336,1271,-4.2385774,0.011248488220735453,0.0025708428511279635,-4.661120289564133,-43.923454,0.0279796966467984,0.0006173419023980387,-4.648529434204102,,,0.95,0.9,3.375519827570894,3.393214476732085,0.49143269083822505,0.0,-65.85354,611.9871798124091
255,1784317273.9890852,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.7736513912677765,,6.2970356764271855,,7.358757170848548,,1.8970528646023013,,2.7969402357703075,-0.23854216933250427,-0.0024508364658686332,0.0563652774435468,1.8584268689155579,41811968,46594,20416,1276,7.979266,0.007732514599047136,0.0031861781084444375,-4.632589253783226,-26.10381,0.01433935061795637,0.00012113909469917417,-4.691063350439071,,,0.95,0.9,3.3859490320226664,3.6470642157478297,0.4502827914787283,0.0,-3.339785,538.5144500784842
256,1784317567.8278148,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.3042193204164505,,5.235309402924031,,7.029594441642985,,1.7350130984559655,,2.760252227075398,-0.3035704493522644,-0.007000165060162544,0.06579202524153516,1.8604580722749233,41975808,46763,20496,1281,6.403947,0.007923353798105381,0.002371826178568881,-4.718909129500389,-53.72677,0.01793173810583539,0.0015188198463874868,-4.684069421887398,,,0.95,0.9,3.485156395401236,3.7202335889422082,0.4815299741564064,0.0,-8.424667,557.5848392142689
257,1784317847.8338408,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.666161015629768,,5.1023744428530335,,6.615568019449711,,1.7322904258035123,,2.6361137544736266,-0.32851442694664,0.0006779747855034657,0.07914257771335542,1.8471821919083595,42139648,46928,20576,1286,7.2823477,0.007844953039602842,0.0013415604349575005,-4.730540570616722,-40.2074,0.012220708857057616,0.0017281124921282754,-4.744655829668045,,,0.95,0.9,3.204478029305212,4.135884667265978,0.5526154769225728,0.0,4.8851485,585.1302125121065
