# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
20,1784821470.0737891,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.614583058748394,,5.465977199841291,,9.51354637183249,,0.8444658077787608,,3.7144820206449367,,1.903151333797723,,4.815577155910432,,7.5,0.012756755575537682,-1.5133991837501526e-09,0.015000610394054092,1.4650434367358685,3309568,6032,1616,101,-87.89505,0.022318715072469787,-0.0004737499650218524,2.5975419849157335,-73.96541,0.007878109297598712,-0.00040512585801479874,1.4253143042325973,,,0.95,0.9,none,1.0294715269192725,1.296783953994392,0.8284003775089652,0.0,-85.654625,2237.7921177091534,-87.89505
21,1784821543.6531854,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.918389658094384,,5.722783165052533,,9.607164948247373,,0.921971142408438,,3.7973970849998295,,1.8923979686805978,,4.858760540373623,,7.6875,0.03020014800131321,-0.0030298542114906013,0.05514476035023108,1.4624378830194473,3473408,6211,1696,106,-74.99573,0.016176843794528394,-0.0016643752373056487,2.470502905547619,-54.957726,0.005707113663083874,0.0001166525500593707,1.1706899993121624,,,0.95,0.9,none,1.0864830274522865,1.4514093388089766,1.0623983608525067,0.0,-97.083755,2226.71021770347,-74.99573
22,1784821615.0743117,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.206215851008892,,5.155931234359741,,9.269640449434519,,0.6593000886205118,,3.6738822241313756,,1.602694961708039,,4.610572669131216,,7.375,0.040394559502601624,-0.004778201546287164,0.013414934117463417,1.470526099205017,3637248,6391,1776,111,-59.430737,0.015407163213239983,-0.001992754182720091,2.3536007732152937,-68.135124,0.00647795858385507,-0.001502574750338681,0.9899102494120597,,,0.95,0.9,none,1.1290117164794928,1.4808280372182594,0.6291281184587745,0.0,-99.500084,2293.9992681565395,-59.430737
23,1784821687.5467212,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.813340842723846,,6.717450174270198,,9.90164867695421,,1.258236003573984,,4.270239684352418,,2.294438064098358,,4.974567462457344,,8.5625,0.13576655089855194,-0.0016184945998247713,0.004843882699788082,1.4743641018867493,3801088,6588,1856,116,-74.533165,0.02012377580977045,-0.0009107250480155926,2.257295386493206,-72.54134,0.008383002592017874,0.0007398782050586306,0.7376116912811994,,,0.95,0.9,none,1.1320934062468875,1.6856085929537556,0.735346428324746,0.0,-89.51239,2260.7226406663335,-74.533165
24,1784821760.1080272,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.836119393658009,,5.9285969632910565,,9.606620078906417,,0.8968981920043007,,3.9250513706356287,,1.9833768475800753,,4.875287266913801,,7.9375,0.12307915836572647,-0.008923298213630915,0.02007525588851422,1.4831784255802631,3964928,6764,1936,121,-65.19911,0.016316008177818732,-0.0015733345178887248,2.115556688606739,-50.263584,0.006595156306866556,0.0001903400305309333,0.5310981567949057,,,0.95,0.9,none,1.2065789635109707,1.8426722863821623,0.7430541963590549,0.0,-85.62528,2257.952261549341,-65.19911
25,1784821832.8360467,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.735731822438538,,5.3751789724919945,,9.651540725200903,,0.925841074436903,,3.9371697440510616,,1.7976032858714461,,4.890967092549545,,7.5625,0.04521399736404419,-0.001054789638146758,0.01277002165443264,1.493082668632269,4128768,6948,2016,126,-66.80261,0.011695174756459892,-0.002023191451735329,1.98171271905303,-53.078026,0.005383171164430678,-0.0004197868736810051,0.3020708987489343,,,0.95,0.9,none,1.2423957604522924,1.5620050702004238,0.48513282017079074,0.0,-108.92729,2252.7768797903154,-66.80261
26,1784821903.266629,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.436269648373127,,5.575682010967284,,9.266256270930171,,0.6980787904467434,,3.6825619387673214,,1.642810714431107,,4.675614587729797,,7.5,0.021382112056016922,0.0006519448943436146,0.0041316075148642994,1.490219995379448,4292608,7139,2096,131,-47.952248,0.016116385953500866,-0.00024324460900970735,1.8395216681063176,-44.653114,0.009871180524351075,0.0004998911870643496,0.114950480312109,,,0.95,0.9,none,1.2742090038907727,1.9280645720384506,0.684126867375303,0.0,-86.25084,2326.2624159090824,-47.952248
27,1784821976.2478976,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.472329285927117,,5.609448990318924,,9.339005809277296,,0.7781913238577545,,3.791921079158783,,1.7672964777011657,,4.741721259430051,,7.375,0.08722688257694244,-0.0018095284467563033,0.009813490396481939,1.4928802773356438,4456448,7322,2176,136,-52.709045,0.009881968033732846,-0.00038812414932181126,1.7440740302205087,-45.283295,0.005597134667914361,-0.0006450527085689828,-0.07914933785796166,,,0.95,0.9,none,1.3173934152262026,1.8501623368496414,0.8265341371502103,0.0,-81.70226,2244.958107836914,-52.709045
28,1784822046.1331143,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.683444760739803,,6.922878473997116,,9.956292610615492,,1.4410756099969149,,4.419029338285327,,2.343481276242528,,4.978455706732348,,8.875,0.14859434962272644,0.0009977705194614828,0.013941576064098626,1.5004337504506111,4620288,7512,2256,141,-52.22091,0.0123030712507898,-0.0003365985117852688,1.6185466416180134,-48.186012,0.008417300358996727,0.000895314195076935,-0.21631628079339862,,,0.95,0.9,none,1.3501460105242034,2.261657677267673,0.7502547203512392,0.0,-117.42995,2344.4159527978195,-52.22091
29,1784822116.5285587,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.772924098186195,,6.5522995663341135,,10.0,,1.320009270682931,,4.337542925961316,,2.3838414335623384,,5.0,,8.875,0.1962357610464096,-0.0013980731600895524,0.0406485807034187,1.5050923973321915,4784128,7696,2336,146,-59.790447,0.02905474860453978,-0.00032352919806726276,1.5248878292739392,-63.44738,0.00952549354842631,0.0010970760478812736,-0.3725740170106292,,,0.95,0.9,none,1.4206749984566307,1.9443464786726081,0.6535941309117744,0.0,-84.10748,2327.4232776062304,-59.790447
30,1784822187.2762837,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.604640393517911,,5.879104914609343,,9.442460611462593,,0.9547237131628208,,3.7188447152730078,,1.8447345134336501,,4.79915857501328,,7.625,-0.03702668845653534,-0.010529962426517159,0.11306202318519354,1.505552053451538,4947968,7886,2416,151,-52.670704,0.014729297932353802,-0.00021842990099685267,1.423238431662321,-73.407364,0.019155482505448164,0.0010387837966845837,-0.5003211123868823,,,0.95,0.9,none,1.4725551585782934,1.9290420190826023,0.6729814419511375,0.0,-91.36275,2315.8341817104474,-52.670704
31,1784822257.972435,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.041437613312155,,5.989511184161529,,9.661292597651482,,0.9143353919498622,,3.889549389015883,,1.9638830459443852,,4.845742939040065,,8.3125,0.10490528494119644,-0.01598625817860011,0.04188979184255004,1.5056866444647312,5111808,8084,2496,156,-63.843346,0.023907720734132453,-0.0004219400208967272,1.3323046542704104,-58.493217,0.011491557868430391,0.002203228721919004,-0.631748229637742,,,0.95,0.9,none,1.3940405768990987,2.0710930454236256,0.9180657773194538,0.0,-85.92571,2317.5234619775597,-63.843346
32,1784822330.0500317,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.34973038174212,,5.391814526170492,,9.350061358185485,,0.6816849464084953,,3.5733281578868628,,1.7097266677301377,,4.538606436923146,,7.3125,-0.0351124182343483,-0.0019109545391984284,0.011177605425473303,1.5054833069443703,5275648,8260,2576,161,-42.65951,0.012181185904773883,-0.00022220490645850078,1.2157848834991456,-37.83468,0.004687893518712372,0.0017544870235724375,-0.7032753624022007,,,0.95,0.9,none,1.579654065888685,2.522482617124893,0.6510023366703741,0.0,-70.193115,2273.1078799676066,-42.65951
