# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps,target_agent_return
180,1784832826.9866042,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,6.03701186645776,,5.389203796163201,,7.707785747013986,,2.322896037949249,,3.0540961783844978,-0.41209542751312256,-0.005939770000622957,0.060462012072093785,1.6274102851748466,29523968,30779,14416,901,-1.703716,0.00755448206764413,0.003308363842006656,-5.569611820578575,-18.117815,0.006649095635657432,0.0015566998481517658,-5.550048062205315,,,0.95,0.9,both,3.1080818881376495,3.391413709187739,0.7533216986400761,0.0,-20.987213,2303.5489445358744,-1.703716
181,1784832900.9364927,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.141877514310181,,4.360916661564261,,7.293335430324078,,1.9929333832114935,,2.8549514831975102,-0.7598065733909607,-0.01283855533984024,0.1682073336560279,1.6181289106607437,29687808,30940,14496,906,7.172179,0.005447581547196023,0.0026365406403783707,-5.6084577023983,-19.667967,0.004394623842381406,0.0018001767188252416,-5.5776665896177295,,,0.95,0.9,both,3.066904883040466,4.143017615838778,0.9286733618490003,0.0,-20.730288,2215.554430268719,7.172179
182,1784832972.52491,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.162607398699038,,4.61383631802164,,7.22442772454815,,1.8709913925267756,,2.5653865467756987,-0.8281538486480713,-0.000785529991844669,0.23510962771251798,1.61873459815979,29851648,31103,14576,911,7.3196154,0.006343730818480253,0.003434772396576591,-5.593657505512238,-18.266418,0.00722048384923255,-0.0004749978121253662,-5.615972036123276,,,0.95,0.9,both,3.2461983883751167,3.2975347710855787,0.8573782099687054,0.0,7.700059,2288.63833693089,7.3196154
183,1784833042.8725977,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,6.1306822202168405,,5.3573497455217876,,7.841576710256049,,2.449309553951025,,3.180436262860894,-0.3326312303543091,-0.0004582990195558523,0.10108339332509786,1.6261423081159592,30015488,31263,14656,916,-9.357603,0.009485618778853677,0.0025513897140626795,-5.626491245627403,-10.418634,0.004551951761095551,0.001676291862531798,-5.613093313574791,,,0.95,0.9,both,3.8214817398833865,3.4752803712486253,0.8045440930150131,0.0,-33.967297,2329.0033324346673,-9.357603
184,1784833113.1816537,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.279679181810934,,4.9486704198643565,,7.028278850950301,,2.1565284486860037,,2.863106088829227,-0.3378303647041321,-0.010981345491018146,0.0724135838681832,1.6312210410833359,30179328,31430,14736,921,-21.634022,0.009097457992902491,0.000742737048130948,-5.650016286969185,-36.755592,0.005856167216552422,0.001204543148924131,-5.674435687065125,,,0.95,0.9,both,3.2967167476576575,3.626707983833596,0.7071538435071314,0.0,-14.280296,2330.282912726811,-21.634022
185,1784833182.7128737,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.484856168273836,,5.414290649350733,,7.391761005856097,,2.1677224846789613,,2.9179463738109916,-0.39928892254829407,-0.00437618848081911,0.12194721098057926,1.6360342428088188,30343168,31591,14816,926,6.680999,0.009238736012775917,0.0006122515067545464,-5.627400049567223,-34.217518,0.00342910002800636,0.00145386399817653,-5.665405732393265,,,0.95,0.9,both,3.5127504934341687,3.7198969126011527,0.7311389777902794,0.0,-17.62889,2356.3517069104914,6.680999
186,1784833252.9774418,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.175538758048788,,5.130737092811614,,6.87638835911639,,2.006003016140312,,2.8463132851175033,-0.33673691749572754,-0.007513813652622048,0.08492298237979412,1.6431048959493637,30507008,31757,14896,931,-9.444579,0.009320416118134745,0.002221930414089002,-5.633331459760666,-9.9410305,0.004953947312606033,0.0014434478449402376,-5.681850385665894,,,0.95,0.9,both,4.036453867291965,3.4900725739316423,0.6903069181109006,0.0,-28.727325,2331.7584095222837,-9.444579
187,1784833323.7400317,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.194586807898304,,4.994997452944517,,7.242870486341417,,2.089496210683137,,2.732479906990193,-0.6034601926803589,-0.00678100943332538,0.1410021330229938,1.6554348170757294,30670848,31926,14976,936,-13.515091,0.008333717784262262,0.0020687832104158586,-5.6376620590686795,-45.801285,0.010430412559071556,0.002197511793929152,-5.695504745841026,,,0.95,0.9,both,3.504498599629143,3.948012882020494,0.6775470940994819,0.0,-35.34791,2315.3478859445027,-13.515091
188,1784833395.5146387,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.319951145211235,,4.675831620363169,,6.965576902905013,,2.076412073278334,,2.819432173622772,-0.20247936248779297,-0.00013825709174852818,0.2295906088547781,1.6487859711050987,30834688,32110,15056,941,-32.704723,0.018350653804372997,0.0003743647059309296,-5.6217514127492905,-22.782162,0.00656807144114282,0.0014536708462401294,-5.681862846016884,,,0.95,0.9,both,3.785149533753068,3.7906146988436165,0.679639550749018,0.0,-50.241966,2282.7014968552467,-32.704723
189,1784833461.2492592,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.901430603582412,,5.476775612682104,,7.848148969933391,,2.2533757267156034,,3.1320255203172565,-0.7444304823875427,-0.0018651509162737057,0.24975652107968926,1.6513045653700829,30998528,32292,15136,946,-20.905436,0.010801730220555328,0.0024307589963427747,-5.649097520112991,-35.666718,0.009979408868821338,0.00018644047668203712,-5.647940370440483,,,0.95,0.9,both,3.5110665645432477,3.7944834293572898,0.5680757945347208,0.0,-86.11323,2492.4458796558242,-20.905436
190,1784833530.5317996,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.502889508148655,,4.927897859364748,,7.396046112058684,,2.0410737423226237,,2.811741327866912,-0.6388176679611206,-0.0009831649658735842,0.27478215377777815,1.6471738070249557,31162368,32464,15216,951,-10.331028,0.007213176244113129,0.003454821917694062,-5.629735806584359,-65.86201,0.014460727490950375,0.0008864725998137147,-5.623998177051544,,,0.95,0.9,both,3.898476818846741,3.613402857993111,0.8948932029612844,0.0,-47.630493,2364.809229253674,-10.331028
191,1784833599.2132628,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.16543670091778,,4.955919549800456,,7.426410190295428,,2.095411412534304,,2.8389306045137346,-0.6487531065940857,-0.007484173052944243,0.21491249511018395,1.643966093659401,31326208,32628,15296,956,-0.21084595,0.009692393912700936,0.002482198688085191,-5.6937865018844604,-41.28345,0.00708921202167403,0.0022764860856113955,-5.660006061196327,,,0.95,0.9,both,3.918116022276332,3.768225979644729,0.6126726795086901,0.0,-24.73499,2385.5056066887837,-0.21084595
192,1784833666.0171227,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.89753894507885,,5.449151204433292,,7.59005126170814,,2.3760969394352287,,2.991781227523461,-0.6635597348213196,-0.0034527374373283237,0.22992319939658046,1.6354224756360054,31490048,32790,15376,961,7.7711816,0.0067061023015412505,0.002002695860574022,-5.703013315796852,-17.037788,0.004086986392212566,0.0010556271066889168,-5.6512941241264345,,,0.95,0.9,both,3.161699057295348,3.7389504219509306,0.8305301514019664,0.0,-84.93228,2452.5526490272705,7.7711816
193,1784833735.6487682,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.729029995389283,,4.227888675406575,,6.687347329920158,,1.785070144745987,,2.499614779604599,-1.1723204851150513,0.00024938494607340544,0.2937016342766583,1.6339277029037476,31653888,32967,15456,966,-3.9266655,0.007036713718844112,0.0023470578671549447,-5.669407790899276,-84.67985,0.03596085656899959,0.0019532125275873113,-5.683052244782448,,,0.95,0.9,both,3.340737096933048,3.8716578099279815,1.0881571337489482,0.0,-12.558478,2352.953460068641,-3.9266655
194,1784833804.5541127,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.2594548081979156,,4.973911280743778,,7.228497338830493,,1.952606622071471,,2.844571700785309,-0.5969065427780151,-0.002642473264131695,0.1710130978608504,1.6283343806862831,31817728,33138,15536,971,6.7770004,0.0055500772112281995,0.0019413971560425125,-5.617739373445511,-40.443962,0.020062761940062047,0.0023427286141668446,-5.640280959010124,,,0.95,0.9,both,3.7475983443259837,3.8951574013603136,0.6566513166685501,0.0,-21.754929,2377.754341100837,6.7770004
195,1784833873.06066,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.851131422445178,,4.564274238422513,,6.885459410812473,,1.8865339413750917,,2.533938997425139,-0.7156587839126587,-0.015403979632537812,0.18037844309583306,1.6208458542823792,31981568,33306,15616,976,4.6773577,0.005677348862809595,0.004391394041886087,-5.666286653280258,-42.888313,0.011321380364825018,0.0009256461707991548,-5.6109803259372715,,,0.95,0.9,both,3.2682966165454195,3.3414101336081634,0.6606057074464825,0.0,-26.228558,2391.5967185099503,4.6773577
196,1784833940.212572,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.855216392199509,,4.519395424053073,,6.987164909194689,,1.6885532262385823,,2.738480356289074,-0.3703067898750305,-0.002053912670817226,0.10042967239860445,1.6276915073394775,32145408,33474,15696,981,7.7651587,0.006443834645324387,0.004088145859714132,-5.630666688084602,0.052684307,0.00744067576888483,0.0013566547961090692,-5.620079043507576,,,0.95,0.9,both,2.990607429570472,3.2249367878733515,0.7578127854563297,0.0,-23.382175,2439.8407055818375,7.7651587
197,1784834008.6490877,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.798845869489014,,5.073792783310637,,7.7354961924720556,,2.1915602853987366,,2.922685373108834,-0.3855331540107727,-0.011543359141796827,0.13094955193810165,1.6264083087444305,32309248,33638,15776,986,-18.089012,0.00813161078549456,0.0038707391067873687,-5.589280584454537,-13.890673,0.0061597202191478575,0.0007247984598507173,-5.616631519794464,,,0.95,0.9,both,3.3577065058125584,3.5642948478015173,5.500987101064918,0.0,-14.850461,2394.0436594011876,-18.089012
198,1784834076.8110604,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.381866244133562,,4.826579474611208,,7.27313326739386,,1.8977691028267145,,2.9129441998666152,-0.31532010436058044,-0.0029878612513130065,0.13161214848514646,1.6190690398216248,32473088,33801,15856,991,7.277845,0.005960262560984119,0.0024266747495858,-5.572688743472099,-26.503231,0.00979441470990423,0.0003434855432715267,-5.637995812296867,,,0.95,0.9,both,3.1781533540413536,3.3465082462913758,0.6078502413905797,0.0,-13.940054,2403.686277065754,7.277845
199,1784834148.2170446,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.115242090076208,,4.584734864998609,,7.441361031378619,,1.9468216227833182,,2.7962548413779587,-0.359592080116272,-0.021225634875008836,0.16464808874297887,1.6211209148168564,32636928,33966,15936,996,-0.90520746,0.006655531344586052,0.001221483413974056,-5.598822990059853,-23.143593,0.009707464222447015,0.002232636402186472,-5.662829712033272,,,0.95,0.9,both,3.0834605785146962,3.5665063411909457,0.6819027723722997,0.0,-17.832504,2294.4855714699484,-0.90520746
200,1784834216.7452068,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.548243656288832,,5.082592467777431,,7.5025766137987375,,2.315539550036192,,2.855416393838823,-0.6156370043754578,-0.00900714925955981,0.18730956315994263,1.626066729426384,32800768,34126,16016,1001,6.8214393,0.00642211204249179,0.0033820275086327454,-5.632420468330383,-15.019089,0.004254341206979007,0.0013183637041947805,-5.655634602904319,,,0.95,0.9,both,2.992646564548508,3.8399777478991544,0.6923816427931698,0.0,-17.267746,2390.8418192041663,6.8214393
201,1784834287.8162796,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.926124210469425,,4.204642421216704,,6.735629283823073,,1.7339753191918135,,2.572223837953061,-0.6742311716079712,-0.0032455306500196457,0.14660984463989735,1.6348946839571,32964608,34288,16096,1006,-14.325643,0.008173883587005548,0.0017338815159746446,-5.675572180747986,-34.114357,0.010111542078084313,0.0013295290555106476,-5.652462729811669,,,0.95,0.9,both,3.6013463725910753,3.929518553876188,0.6411516356149102,0.0,-2.6202245,2305.298190808374,-14.325643
