# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,sps,target_agent_return
20,1784306833.4360652,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.962954733520746,,5.750506442040205,,7.433958935551345,,2.0448619490489364,,2.920728927361779,-0.17171834409236908,-0.013346765903406776,0.03965899546165019,1.4745942912995815,3309568,5974,1616,101,-71.67356,0.0049351917616149875,0.00015840294945519419,1.9465890489518642,-79.38945,0.00406041901151184,-0.0014585319004254416,1.9947599858045577,,,0.95,0.9,0.8276445398838742,1.0119981004600453,1.0110261388904984,0.0,-96.81993,2115.5366640328157,-71.67356
21,1784306929.3494158,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.612181175034493,,6.081252860836685,,7.9760017320513725,,2.2434584251604974,,3.0970110069029033,-0.00848742388188839,0.005320776719599962,0.035183118568966165,1.4842153489589691,3473408,6141,1696,106,-71.92851,0.010658040978887584,-0.0005013745103497058,1.797369410097599,-75.155334,0.005527202556550037,-0.001087994380213786,1.7775280758738519,,,0.95,0.9,0.9015851388283853,0.9752975943740243,1.4165836997215624,0.0,-85.98442,1708.2084568492091,-71.92851
22,1784307016.2391658,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.870616604457609,,5.263050829991698,,6.85351403709501,,1.7662196897435933,,2.7386692919535562,-0.21935203671455383,-0.008263213385362178,0.0319681289838627,1.4873872064054012,3637248,6306,1776,111,-66.91282,0.010670232218399179,-3.515241260174662e-05,1.582674355059862,-84.3994,0.01161585378285963,-0.00045668897946598007,1.5761284112930298,,,0.95,0.9,0.850924616593088,0.9945964033293698,0.7630922260854736,0.0,-101.07436,1885.608044442715,-66.91282
23,1784307091.3695705,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.319356135791168,,5.008133698720485,,7.159173806780018,,1.81271484267927,,2.7059530639680816,-0.24614585936069489,-0.005529717716854066,0.03866637867758982,1.4950205273926258,3801088,6469,1856,116,-56.10387,0.0036273986013839023,0.00025356585247209295,1.354317320138216,-67.404045,0.008497322691255249,-0.002705783584679011,1.3821054145693779,,,0.95,0.9,1.1424371188016518,1.0974691667974947,0.9415109651189139,0.0,-106.58966,2180.741549594876,-56.10387
24,1784307165.1902256,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.15325670177117,,5.611729683354497,,7.046635112492368,,1.9276595892442856,,2.8221935715992004,-0.1423245668411255,-0.018473459655069746,0.01522035691596102,1.4945293702185154,3964928,6639,1936,121,-62.87583,0.007857976559898816,0.00011638569412752986,1.176220741868019,-91.979515,0.02226255335845053,-0.0004045784764457494,1.2110882617533207,,,0.95,0.9,1.1871398073910118,1.0430050205141976,1.055825391474663,0.0,-73.87825,2219.433069284841,-62.87583
25,1784307238.75014,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.528441918606404,,5.6270155953243375,,7.606652734801173,,2.1548698251135647,,2.9078179103089496,-0.1675160825252533,-0.0036934259842382744,0.03932397477910854,1.4948249608278275,4128768,6818,2016,126,-70.07968,0.017134935731883162,-0.00021175452275201678,1.0508679822087288,-71.71973,0.01070647482847562,8.997833647299558e-05,1.0232246436178685,,,0.95,0.9,1.0044617071577453,1.0637411719771177,0.8885260203702057,0.0,-91.95119,2227.3000691438574,-70.07968
26,1784307310.9541156,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.459292802959681,,4.834902703762054,,6.437507172115147,,1.7101899040862918,,2.4953021289256867,-0.41500604152679443,0.0010404296599517693,0.029775340255582705,1.498607326298952,4292608,7004,2096,131,-49.858406,0.010318352223839611,0.0006236108485609293,0.9188311737030744,-86.39678,0.03427777233300731,-0.0010169111366849393,0.9323565162718296,,,0.95,0.9,0.9936643091876945,1.001201669110832,1.07879017864046,0.0,-103.31067,2269.126300095576,-49.858406
27,1784307383.120747,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.6589369447901845,,6.04379413370043,,7.447855040431023,,2.147889833431691,,3.0590316457673907,-0.29109305143356323,-0.017912178416736424,0.050480619072914124,1.503244437277317,4456448,7195,2176,136,-56.79483,0.015660355595173314,-0.000180494345840998,0.8333766527473927,-83.23708,0.02513260522973724,0.0011597927208640614,0.8182385575026274,,,0.95,0.9,1.0898030913385992,1.1728790729151235,0.855099212356291,0.0,-81.69975,2270.3023259350025,-56.79483
28,1784307455.3129852,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.951327750459313,,5.2981284242123365,,6.852128062862903,,1.7459875593194738,,2.734696539118886,-0.2757716774940491,-0.018507766217226163,0.0901958973845467,1.4984577670693398,4620288,7402,2256,141,-59.970966,0.014599078346509486,0.0009798809653148056,0.7213564403355122,-79.34332,0.043597841658629476,0.0013243227993370965,0.709979896619916,,,0.95,0.9,1.0539141154971698,1.2978227095269208,0.9991727090308686,0.0,-88.44035,2269.4959277520843,-59.970966
29,1784307526.7563713,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.99797566793859,,6.282433839514852,,8.096875805407763,,2.3275779858377064,,3.253692365717143,-0.251278281211853,0.00047753239050507545,0.03183615894522518,1.5047734454274178,4784128,7607,2336,146,-49.696,0.01168521675572265,0.0010032115707872436,0.6356997039169073,-57.704063,0.007187009660992771,-0.0006542293005622924,0.6066878736019135,,,0.95,0.9,1.196410870478402,1.359851937480482,1.1669144230380342,0.0,-67.074776,2293.2841934997546,-49.696
