# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Medium-Eval-v0,test_returns:BipedalWalker-MADS-Medium-Eval-v0,sps,target_agent_return
20,1784617215.2187371,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,2.796124287531711,,2.850448003737256,,4.730072384700179,,0.13018847187049687,,1.4035318428650498,,0.06616840412607417,,1.45576679892838,,3.1875,-0.5416966080665588,-0.0007828875677660108,0.22050186526030302,1.4997434169054031,3309568,7531,1616,101,-87.12299,0.012080834159860387,-0.00043857803902938033,1.7325092025101185,-82.72549,0.03780662170611322,-0.0003530458954628557,1.8422655023634433,,,0.95,0.88,1.1721033425030265,1.1189685560131248,1.045722961272842,0.0,-97.77175,2755.24435856219,-87.12299
21,1784617274.7002716,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.9191634504677495,,4.309197061433224,,6.051763573894277,,0.8361502152401954,,2.0081271652597934,,0.49219510017428547,,2.1411242802860215,,4.3125,-0.1467452049255371,-0.004281272238586098,0.07497039646841586,1.5081398524343967,3473408,7870,1696,106,-77.32014,0.01112727907311637,-0.00014879498776281251,1.5153631664812566,-77.80368,0.030049844831228256,-0.00044772245601052416,1.656908268481493,,,0.95,0.88,1.1828063736671717,1.1917738317516944,0.8306489984026444,0.0,-93.41853,2754.4683151748272,-77.32014
22,1784617337.7734814,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.3764891577884555,,3.9424866986228153,,6.2996847338508815,,0.19230812112800777,,1.8757551359012723,,0.2540699855890125,,2.114005231880583,,3.75,-0.011548938229680061,-0.006811984407249838,0.07789081544615328,1.5074310600757599,3637248,8292,1776,111,-97.56859,0.01181825794337783,-1.4664616901427508e-05,1.2944404050707816,-84.290344,0.029038963722996414,-0.0006437227886635811,1.4896469362080098,,,0.95,0.88,1.2430580151443047,1.2397420844454239,0.855337905454471,0.0,-90.15935,2597.6162869482755,-97.56859
23,1784617397.529489,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.9582260781899095,,4.151686621364206,,5.948262650723336,,0.46395317132737546,,2.0961638218723238,,0.453767196420813,,2.077183263376355,,4.0,-0.1533236801624298,-0.0045020029647275805,0.08117547864094377,1.517019160091877,3801088,8650,1856,116,-74.226425,0.006435020346543752,0.00037464142878889105,1.086988665908575,-91.22309,0.034781268041115254,-0.0002432121051242575,1.263139769434929,,,0.95,0.88,1.5122960304545718,1.2246674064979146,0.6341142123893624,0.0,-76.44478,2741.816245153573,-74.226425
24,1784617458.634195,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.1447410727851093,,3.5838789884001017,,5.550894738640636,,0.1522769434377551,,1.764780092984438,,0.1807729381835088,,1.5664428432937714,,3.75,-0.14109042286872864,-0.0025788431521505117,0.10515657416544855,1.5189314633607864,3964928,8993,1936,121,-88.386635,0.011398665414890274,-0.0004849687553360127,0.9072518788278103,-81.42949,0.03748490371508524,-0.0006705596664687618,1.0790249332785606,,,0.95,0.88,1.216119158099346,1.328843023119043,0.6752940808284355,0.0,-92.13124,2681.2992647584624,-88.386635
25,1784617521.8834527,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.070172659121454,,4.006372551200911,,6.617080105585046,,0.6209122475702316,,1.8636998978909105,,0.4192660325788893,,1.995545906946063,,4.0625,-0.23106546700000763,-0.006813344778493047,0.06220387027133256,1.5344517305493355,4128768,9451,2016,126,-79.96411,0.010530598316108808,0.0010317716296412982,0.7688139591366052,-74.41481,0.028177757223602384,-0.00014834419853286817,0.9050124462693929,,,0.95,0.88,1.4898558701952023,1.3804505233746451,0.5483249113809237,0.0,-64.121376,2590.386251751883,-79.96411
26,1784617582.8052745,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.214556684251875,,3.755987888551317,,6.208543601678684,,0.43459571071434766,,2.0192698050523177,,0.5580971624003723,,2.0970147854241077,,3.8125,-0.2735702395439148,-0.002958119206596166,0.10517685813829303,1.5392886996269226,4292608,9847,2096,131,-55.576653,0.0037194075805018654,-0.001393836352508515,0.5686999302357435,-78.20876,0.027523156092502176,0.0008717719669220969,0.7327227618545293,,,0.95,0.88,1.5523108290096703,1.4796089294686348,0.7833188542817724,0.0,-75.28133,2689.3484290039637,-55.576653
27,1784617646.2927113,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.391690063755959,,4.496120986063033,,7.067605482414365,,0.6856419547693804,,2.334226868348196,,0.7046497033152264,,2.3797070526052266,,4.5625,-0.4052280783653259,-0.006714572926284745,0.15397497755475342,1.5314609929919243,4456448,10240,2176,136,-90.0412,0.0076563774142414335,0.0002755227222223766,0.39964854177087544,-87.89807,0.04262779662385583,0.0005951456812908873,0.5676669146865606,,,0.95,0.88,1.6501795302288855,1.684574725171402,0.9070451972319916,0.0,-48.64784,2580.6679005801957,-90.0412
28,1784617707.190149,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.113324543635827,,4.0784044964239,,5.919982178602368,,0.4322715054731816,,2.015735773165943,,0.48702547047287226,,2.092456475191284,,4.0625,-0.12213213741779327,0.00047730165533721447,0.08079030842054635,1.5228093601763248,4620288,10642,2256,141,-55.56678,0.006584719118836802,0.0004472333748708479,0.2427449408918619,-75.01802,0.02546977695892565,0.0017141034419182687,0.3979023603722453,,,0.95,0.88,1.6084012332342355,1.6174289289526107,0.7698505544223593,0.0,-43.556107,2690.4253433169265,-55.56678
29,1784617764.5050235,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.5663784102071077,,3.211202723585302,,5.184055094141513,,0.39836757129523903,,1.6772037872578949,,0.38077338226139545,,1.882969836005941,,3.375,-0.3292538821697235,0.00018825038569048047,0.18927077669650316,1.5207869485020638,4784128,11081,2336,146,-52.356102,0.00700024377729278,-7.465448725270107e-05,0.08410836607217789,-60.39141,0.037432180799078195,0.0012021872855257243,0.2534503383561969,,,0.95,0.88,1.7417833827779259,1.7248721440004349,0.9349439193242497,0.0,-78.52287,2858.5945171818657,-52.356102
