# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps
83,1783301797.1579049,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,6.079042416065931,,5.561045832931995,,8.120993413031101,,2.3777314461767673,,3.195831259712577,0.07879357784986496,-0.0032352264097426087,0.0077361271032714285,1.6783211156725883,27230208,30749,13296,831,7.352408,0.004011038716998883,0.003780213976278901,-6.175007897615433,-5.3510256,0.0029069825519400182,0.0031770910049090163,-6.22807851433754,,,0.95,0.95,3.455317912309391,3.7155110934764495,0.9236582102733943,0.0,-3.5919456,1080.3765490278035
84,1783302106.2810338,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.282674232497811,,4.228734157979488,,6.6896148102823645,,1.9297368039842695,,2.5275614126585424,0.07695933431386948,-0.00290474746725522,0.011605041414441075,1.668285559862852,27557888,31069,13456,841,7.6632624,0.003987901948130456,0.004400512928259559,-6.2261607348918915,-12.125357,0.003245149814756587,0.0015295346311177127,-6.3382554918527605,,,0.95,0.95,3.658434798399959,3.7894382986999604,0.5289190170953466,0.0,-5.672972,1060.0306663222518
85,1783302411.3883677,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,6.230302512645721,,5.745923224836588,,7.852786974050105,,2.4601813685148954,,3.247131397947669,-0.062425266951322556,0.0034933954884763807,0.005725125654862495,1.6701485700905323,27885568,31391,13616,851,7.8876634,0.004101874701882479,0.005881015048362315,-6.2679036289453505,-27.573343,0.004566608406457817,0.0021909486138611102,-6.327584245800972,,,0.95,0.95,3.97563901383666,3.679863942732929,1.571613935351806,0.0,-4.3473625,1073.9827316072722
86,1783302720.111164,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,6.096026028506458,,5.670467477291822,,8.031204348197207,,2.4111978432629257,,3.1463338287721854,0.061364591121673584,4.355666533228941e-05,0.017101684868976008,1.6883490979671478,28213248,31715,13776,861,-3.7571359,0.006223220830725041,0.003967408565222286,-6.3004752695560455,-1.9344248,0.003662432536657434,0.004400018582236953,-6.321508115530014,,,0.95,0.95,4.020543644109899,3.8737487494587888,0.8953231491298851,0.0,-15.334401,1061.405297341845
87,1783303024.342031,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.511647970881313,,4.255531555507332,,6.33227158896625,,1.5673826639540493,,2.3554869275540113,-0.08442111313343048,0.001009154919302091,0.048995206132531166,1.6938195079565048,28540928,32040,13936,871,8.181128,0.004896958909375826,0.0029874926622142084,-6.289087015390396,-48.46942,0.013154820646741427,0.002872550870233681,-6.336746883392334,,,0.95,0.95,3.517731403729978,3.965416516426379,0.9474002752338475,0.0,-21.705404,1077.0767211675743
88,1783303341.8323843,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.5454272124916315,,3.924956800416112,,6.276649390114471,,1.511796023696661,,2.29965896345675,0.27871042490005493,0.0034606701747179613,0.1549821400658402,1.6921280547976494,28868608,32362,14096,881,0.35774842,0.0054331168612407055,0.006000301598396618,-6.314105847477913,-2.4111214,0.004560796500300057,0.002895026972691994,-6.307511183619499,,,0.95,0.95,3.966080706935017,4.3029385711805705,1.1153054756788308,0.0,-2.9684176,1032.0943400320223
89,1783303642.9482877,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.492882996797562,,4.185598329640925,,6.5541882324032485,,1.57215126324445,,2.487080727354623,0.13156887888908386,-0.004027152404887602,0.06596161190827843,1.7069668509066105,29196288,32700,14256,891,-0.4923975,0.005862216825335054,0.0035327882156707346,-6.284558919072151,-5.9979815,0.006682175362948328,0.004732821608195081,-6.326169687509537,,,0.95,0.95,3.47618299068265,4.152353319583363,0.6783568405692588,0.0,0.65627444,1088.2188348123505
90,1783303950.100648,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.931170540861785,,4.579061483964324,,6.915525944554247,,1.841033031232655,,2.559101940598339,0.01644449681043625,-2.174580004066229e-05,0.005842085967742605,1.720573652535677,29523968,33023,14416,901,8.500911,0.004738828410336282,0.004601709837152157,-6.274656850099563,-28.837948,0.006545967995771207,0.004699662000348326,-6.311770102381706,,,0.95,0.95,3.8483727527821054,3.950075699953161,0.4478508000591147,0.0,-13.486028,1066.832123696033
91,1783304264.0710618,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.1931248479522765,,4.638068085536361,,6.863885160768405,,1.9585390711399668,,2.7683044159784913,-0.06420238316059113,-0.009923290810547769,0.012458990666345926,1.7246595844626427,29851648,33348,14576,911,-9.782786,0.006750323000596836,0.001353976721293293,-6.276517906785012,-5.0498977,0.004920624152146047,0.0030743188341148197,-6.325874862074852,,,0.95,0.95,3.3002530379818373,3.7221787287312096,0.4659074373745987,0.0,-6.7632637,1043.6652475494734
92,1783304576.225016,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.387208062689751,,4.684723469661549,,7.5387369161471725,,1.9692201800644398,,2.899495862890035,0.0353734977543354,0.00040484723285771906,0.002754886625552899,1.7249456644058228,30179328,33668,14736,921,8.633944,0.004942084450885886,0.0031107158269151115,-6.31377763748169,0.648361,0.0040206906247476585,0.006079681850678753,-6.376577144861221,,,0.95,0.95,3.524923907507713,4.041741923171808,0.6132865977910925,0.0,-2.497348,1049.7383784113028
