# _tick,_time,plr_track_area,track_area,plr_track_perimeter,track_perimeter,plr_track_amplitude,track_amplitude,plr_track_convex,track_convex,plr_track_notches,track_notches,plr_track_complexity,track_complexity,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:CarRacingF1-Germany-v0,test_returns:CarRacingF1-Germany-v0,target_agent_return,target_solved_rate,sps
56,1784042397.3579888,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,562000,2651,7147,281,209.34012,0.009160549103398807,-0.03393965234863572,-2.2474813610315323,0,0.0,0.0,0.0,,,5.8860420761186765,0,0,,,,,80.61208845448841
57,1784042524.8850553,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,572000,2658,7234,286,173.20639,0.033361172303557396,-0.012977988830243703,-2.328975483775139,0,0.0,0.0,0.0,,,6.3330003832676915,0,0,,,,,78.41474125878582
58,1784042654.245271,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,582000,2665,7321,291,184.35439,0.025208435603417456,-0.022180002881214023,-2.3054688200354576,0,0.0,0.0,0.0,,,5.794864071432071,0,0,,,,,77.30348047275825
59,1784042782.8628228,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,592000,2671,7407,296,172.591,0.013487607357092202,-0.019550096469174605,-2.341252364218235,0,0.0,0.0,0.0,,,6.7059432836332356,0,0,,,,,77.74995030888076
60,1784042943.4694064,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,602000,2675,7491,301,196.01187,0.009157285574474372,-0.021118445991305634,-2.3329101353883743,0,0.0,0.0,0.0,,,7.650825630338062,0,0,1.0,685.4443,685.4442749023438,1.0,62.263922632683176
61,1784043069.646001,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,612000,2676,7572,306,196.04684,0.006536961780511774,-0.0231578507082304,-2.393316000699997,0,0.0,0.0,0.0,,,9.887196544110703,0,0,,,,,79.25398861881584
62,1784043195.3140614,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,622000,2677,7653,311,194.99133,0.009617609612178057,-0.014293527136032935,-2.456880435347557,0,0.0,0.0,0.0,,,10.432167136411287,0,0,,,,,79.57472908940481
63,1784043322.731803,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,632000,2678,7734,316,188.2095,0.010605274030240253,-0.030648991669295356,-2.4624306336045265,0,0.0,0.0,0.0,,,7.208515344172664,0,0,,,,,78.48205336009335
64,1784043449.9087443,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,642000,2683,7819,321,212.04033,0.008328586263814941,-0.024427022948657395,-2.500067852437496,0,0.0,0.0,0.0,,,8.566917313493285,0,0,,,,,78.6305470426624
65,1784043608.0754924,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0,0.0,0.0,0.0,652000,2685,7901,326,199.66214,0.017118083022069186,-0.019209439247788396,-2.455693982541561,0,0.0,0.0,0.0,,,7.326345530612102,0,0,1.0,573.7555,573.7554931640625,1.0,63.224441660782276
