# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
99,1784622189.1415389,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.045481923036277,,5.9081824235618114,,9.556981960311532,,1.127697172574699,,4.019445163547061,,2.033437503501773,,4.886748549877666,,8.0,-0.5888164639472961,0.00031748670153319836,0.2450966010801494,1.7381242737174034,16252928,31377,7936,496,-45.856,0.008286158947157674,0.005110685645922786,-5.3995806753635405,-43.929626,0.017697534640319645,0.005005208538204897,-5.385873508453369,,,0.95,0.85,4.5990239174290455,4.4689213566270185,0.5151714536955031,0.0,-52.148224,2680.5998428521966,-45.856
100,1784622250.8971872,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.40982118435204,,5.150930709205568,,9.412529340013862,,0.7092420579865575,,3.661760478746146,,1.578475089976564,,4.695039126672782,,7.4375,-0.9164308309555054,3.1649949960410595e-05,0.20885641127824783,1.735667061060667,16416768,31865,8016,501,-63.025127,0.009137107332935556,0.005802121448505204,-5.4367630809545515,-81.45491,0.013489964851760305,0.004573150527721737,-5.421463307738304,,,0.95,0.85,4.831304280887993,5.1741716951732375,0.5576964420743953,0.0,-63.19762,2653.037123792718,-63.025127
101,1784622311.6875885,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.8032729853875935,,5.465785942971706,,9.547582594212145,,0.7919121736194938,,3.769660561112687,,1.9420702690840699,,4.727569391485304,,7.625,-0.7665868997573853,-0.0018471403454896063,0.11024742195149884,1.733477856963873,16580608,32190,8096,506,-42.8198,0.00894933452073019,0.007542052897042595,-5.432490995526313,-63.104652,0.01603867196245119,0.006480115572048817,-5.4252634853124615,,,0.95,0.85,5.240645344412685,5.056148334619097,0.5961910169668247,0.0,-44.448677,2695.1623186942566,-42.8198
102,1784622372.7962592,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.842735024169087,,6.6616192270303145,,10.0,,1.4324076138436794,,4.3358456287533045,,2.220919393002987,,4.888998915441334,,8.9375,-1.2929832935333252,0.0003337336238473654,0.6401032144203782,1.73462637886405,16744448,32628,8176,511,-25.877003,0.00690905067458516,0.008151167456526309,-5.489930748939514,-78.02785,0.03162456210702658,0.0043791952819447035,-5.449145728349686,,,0.95,0.85,5.106628150919188,4.8865333603881895,0.6829962544411179,0.0,-63.59391,2681.124702800056,-25.877003
103,1784622433.1527565,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.529000553302467,,6.311273750849068,,9.915595964062959,,1.3278836418758146,,4.358160975156352,,2.169031280791387,,4.966342103813076,,8.375,-1.3338115215301514,-0.002483818563632667,0.45509026758372784,1.7403686866164207,16908288,33002,8256,516,-80.853806,0.012233088913490064,0.00576888978102943,-5.519514563679695,-72.76962,0.02072181149269454,0.005109920575341676,-5.466010981798172,,,0.95,0.85,5.155215008019091,5.051697155724544,0.4921803728243525,0.0,-68.61516,2714.538838684402,-80.853806
104,1784622494.6008317,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.260767426807433,,5.138949383050203,,9.23233987763524,,0.5828515384346247,,3.60520095936954,,1.5748919448815286,,4.576512201689184,,7.25,-0.8173741698265076,0.0007197289960458875,0.1435373920830898,1.738372579216957,17072128,33240,8336,521,-24.972437,0.005938591718586394,0.007599943219975103,-5.547368943691254,-33.791855,0.01738430449331645,0.0062229142873547975,-5.511425998806954,,,0.95,0.85,5.233108393876241,4.91146323914362,0.8081724547450577,0.0,-68.97683,2666.3154806731523,-24.972437
105,1784622557.1345005,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.528649317100644,,5.818529286887497,,9.473600966855884,,0.8518245867162477,,3.89539817138575,,1.7170862869825214,,4.786538538523018,,7.5625,-0.7613264322280884,-0.0018906587501987815,0.021623995329719037,1.7364801913499832,17235968,33534,8416,526,-31.953033,0.006777799809060525,0.00613947446909151,-5.535281872749328,-62.779377,0.012976964673725888,0.004558465095033171,-5.518551900982857,,,0.95,0.85,4.494500756067786,4.583369632438481,0.4310228226992692,0.0,-68.13125,2620.0275704689943,-31.953033
106,1784622621.0317473,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.403807865455747,,6.49644273146987,,9.94465978257358,,1.2396537538734265,,4.187280476791784,,2.317671592129045,,4.976143243256956,,8.6875,-0.8187025785446167,-4.6498957090079784e-05,0.17530313279712573,1.72346580773592,17399808,33825,8496,531,-24.530468,0.006376754262601025,0.007000210189289646,-5.584924656152725,-66.652664,0.03789404723793268,0.006316693533153739,-5.541317218542099,,,0.95,0.85,4.939434863066348,5.065909437822116,0.6623538391610604,0.0,-65.50354,2564.1163352878766,-24.530468
107,1784622683.7436497,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.545328939333558,,5.360474439221434,,9.297417353838682,,0.7549326738808304,,3.6248190086334944,,1.7352788802236319,,4.720401366939768,,7.8125,-0.6736741065979004,-0.003507590212393552,0.0638308867928572,1.723553504794836,17563648,34059,8576,536,-22.89964,0.008790623789536767,0.005094591686065542,-5.568296927213669,-44.901253,0.007517582118452992,0.005179364356445148,-5.561885756254196,,,0.95,0.85,3.948177029231016,5.591109779541699,0.8517559084619524,0.0,-53.21978,2612.5831754960054,-22.89964
108,1784622747.4646719,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.926849550916813,,5.6779999394202605,,9.58976217592135,,1.0909888725727797,,3.9665615502744913,,2.282786908559501,,4.920737782726064,,8.125,-1.1635204553604126,-0.006886925548315048,0.3617326347157359,1.7325468212366104,17727488,34390,8656,541,7.062678,0.0055050372924597465,0.0060168708681885615,-5.594570535421371,-88.48849,0.03183904316392727,0.006015779418521561,-5.552919405698776,,,0.95,0.85,4.340740855755072,4.882453027184335,0.4770635263403845,0.0,-53.25412,2571.2083920968153,7.062678
