# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Medium-Eval-v0,test_returns:BipedalWalker-MADS-Medium-Eval-v0,target_agent_return,target_solved_rate,sps
28,1784464880.9899247,,4.399434071965516,,3.968573561287485,,6.776447426527739,,1.0060960671398789,,2.4908129684627056,,0.8059744158526883,,2.207207353785634,,5.0625,0.0,0.0,0.0,0.0,4620288,2828,2256,141,-86.49335,0.07814068258740008,-9.436852997168899e-05,2.2750796154141426,0,0.0,0.0,0.0,,,1.1899244958323723,0,0,0.0,-82.877304,-82.87730407714844,0.0,2826.567699793215
29,1784464944.2904587,,4.40040064509958,,4.2769396444782615,,6.34597847238183,,0.913129320833832,,2.6720891380682588,,0.7933247491018847,,2.7000760147348046,,3.5625,0.0,0.0,0.0,0.0,4784128,2904,2336,146,-90.4897,0.06300206838641316,-0.0008420072495937348,2.148008058965206,0,0.0,0.0,0.0,,,1.1690781639713095,0,0,0.0,-103.2808,-103.28079986572266,0.0,2588.2865459475356
30,1784465002.9134145,,3.755026313010603,,3.95283835940063,,6.312432140111923,,0.8469445572700351,,2.638640678487718,,0.8343313785735518,,1.5367834130302072,,4.0625,0.0,0.0,0.0,0.0,4947968,2976,2416,151,-86.485794,0.06148529802449047,8.833260581013747e-05,2.092944210767746,0,0.0,0.0,0.0,,,1.3110127232733166,0,0,0.0,-88.14272,-88.1427230834961,0.0,2794.8096602664627
31,1784465061.2844746,,4.134878090117127,,3.4303547884337604,,6.7046815901994705,,0.9899080303148367,,2.2697737684939057,,1.1252332942967769,,2.979220086708665,,4.0,0.0,0.0,0.0,0.0,5111808,3048,2496,156,-87.804184,0.06601593997329473,9.04197251657024e-05,2.048980289697647,0,0.0,0.0,0.0,,,1.3455032707302244,0,0,0.0,-104.466774,-104.4667739868164,0.0,2806.870476358903
32,1784465127.1682918,,4.7723074234090745,,3.246594734955579,,6.118105258792639,,1.40983902849257,,2.823206204921007,,0.8248038563760929,,1.7528586671687663,,3.375,0.0,0.0,0.0,0.0,5275648,3126,2576,161,-90.20919,0.0612793177831918,-0.0009656547335907817,1.9628622405231,0,0.0,0.0,0.0,,,1.2373611066220511,0,0,0.0,-80.19409,-80.194091796875,0.0,2486.8014515974864
33,1784465189.541979,,3.9519775309599936,,4.022965198382735,,6.185677591711283,,1.042641802050639,,2.535915784537792,,0.9160095761762932,,2.534560994245112,,4.5,0.0,0.0,0.0,0.0,5439488,3205,2656,166,-89.017914,0.07623540523927659,-0.0009913114452501758,1.9435253955423832,0,0.0,0.0,0.0,,,1.2523539828654524,0,0,0.0,-83.320305,-83.32030487060547,0.0,2626.7470976155732
34,1784465248.9281695,,4.1654231934808195,,4.171194346854463,,7.350081522017717,,0.7759780972264707,,2.345172994537279,,0.8631764078745618,,2.4392536748200655,,4.125,0.0,0.0,0.0,0.0,5603328,3282,2736,171,-87.65235,0.07306542985606938,-0.0001793685252778232,1.8799509786069393,0,0.0,0.0,0.0,,,1.3797979903212443,0,0,0.0,-91.22036,-91.2203598022461,0.0,2758.8912173045987
35,1784465312.4811044,,4.588373051956296,,3.0685701419133693,,6.391037404537201,,1.3668514776509255,,2.6492772228084505,,0.9585346101084724,,2.5125862564891577,,4.3125,0.0,0.0,0.0,0.0,5767168,3356,2816,176,-88.60275,0.07001964279916137,-0.0009708361947559751,1.8042706787586211,0,0.0,0.0,0.0,,,1.324089142399765,0,0,0.0,-82.26006,-82.26006317138672,0.0,2578.007844119517
36,1784465372.502124,,3.5675435792654753,,4.033021775831003,,6.917498428374529,,1.023498212452978,,2.685601022094488,,0.843061683117412,,2.3199728038161993,,3.6875,0.0,0.0,0.0,0.0,5931008,3430,2896,181,-86.68785,0.06615328993648291,-0.0007836838063667529,1.7396503999829291,0,0.0,0.0,0.0,,,1.379336529432367,0,0,0.0,-77.9409,-77.94090270996094,0.0,2729.714767857426
37,1784465436.0718267,,4.7049130871891975,,3.5767113394103944,,6.163565665483475,,1.041549404617399,,2.56158554693684,,0.8064536258461885,,2.0873931562528014,,4.125,0.0,0.0,0.0,0.0,6094848,3506,2976,186,-86.864334,0.08286733739078045,-0.0005010108980059158,1.6282026134431362,0,0.0,0.0,0.0,,,1.3783230355615863,0,0,0.0,-72.02863,-72.02863311767578,0.0,2577.324575166121
