# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,target_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps
91,1783194101.5541022,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.79280630685389,,4.272846100036986,,6.578148856759071,,1.7632460710592568,,2.53112701990176,-0.04640745744109154,-0.009934628993505612,0.07727513764984906,1.7606543712317944,29851648,32979,14576,911,-4.687206,-4.687206,0.008971700724214316,0.0017904137057485059,-4.495411661267281,-13.5513735,0.007049544063920621,0.0012625823845155537,-4.579001134634018,,,0.95,0.9,2.8813586254670747,3.219765238180554,0.5845665333458572,0.0,-27.498356,2186.0510502924503
92,1783194256.986313,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.6797608798369765,,4.377018187427893,,6.598570520989597,,1.7560687009245157,,2.4843004702124745,-0.10303099453449249,-0.0022217778605408967,0.033224510872969404,1.7584225609898567,30179328,33301,14736,921,-22.036915,-22.036915,0.009366918838350103,0.0019473567081149668,-4.5027165651321415,-19.256268,0.005904613075836096,0.0022883213765453546,-4.585117694735527,,,0.95,0.9,3.0069359371323974,3.523005264405044,0.4160595738405925,0.0,-4.2600408,2108.1860401400336
93,1783194431.6725888,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.81709567643702,,4.075906946323812,,6.845868686039466,,1.75082927942276,,2.535788094624877,-0.05179271847009659,-0.0009574165451340377,0.05663640261627734,1.7715799883008003,30507008,33621,14896,931,-2.838203,-2.838203,0.008151186141185462,0.002615296037402004,-4.489601081609726,-13.173337,0.006703666581597645,0.0032217618951108306,-4.573708894848823,,,0.95,0.9,2.949142059742065,3.3720431088352485,0.695390116004035,0.0,-4.007421,1875.8198158551422
94,1783194585.1955526,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.49905421724543,,4.831672481028363,,7.5549386399798095,,1.9146888183895499,,2.8058727143798023,-0.27491673827171326,-0.0002446852740831673,0.053660907316952944,1.7779926359653473,30834688,33942,15056,941,2.634436,2.634436,0.006620954652316868,0.003323036765505094,-4.481125071644783,-17.175058,0.007066382751509082,0.002732770727016032,-4.56276461482048,,,0.95,0.9,3.062183274755617,3.150599833407218,0.4723087470049651,0.0,-7.9336014,2134.4043335066303
95,1783194733.5317454,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.7424238042440265,,4.256465659476817,,6.65299722016789,,1.819695872720331,,2.504812550265342,-0.16805166006088257,-0.002972622613015119,0.026670950232073665,1.7986185401678085,31162368,34262,15216,951,-9.499495,-9.499495,0.006206297922472004,0.0020591584616340697,-4.542756474018097,-10.526104,0.005587677215225994,0.0008083258697297424,-4.524908247590065,,,0.95,0.9,2.915631383667017,2.9976649001433358,0.40255224367207276,0.0,-16.447554,2209.035542809407
96,1783194881.2894924,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.5543053592555225,,5.222804948047269,,7.658453841693699,,2.1404234464280307,,2.8942369816359133,-0.06900007277727127,9.863643208518624e-05,0.08432704888400622,1.8057198822498322,31490048,34582,15376,961,3.4956825,3.4956825,0.006664181256201118,0.001958575840399135,-4.536991626024246,-10.859442,0.006808158844069112,0.0018309848426724784,-4.551765334606171,,,0.95,0.9,2.9809782394282407,3.1008691442513174,0.6033195363092652,0.0,-27.816061,2217.6839972153916
97,1783195030.5208063,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.595358623890206,,4.999892562627792,,7.454552878625691,,1.961838643066585,,2.9008219609968364,-0.09602229297161102,-0.011867020511999726,0.03124936972744763,1.8171718530356884,31817728,34902,15536,971,5.3208036,5.3208036,0.0067288976439158436,0.003261450628633611,-4.530081734061241,-19.919832,0.004986835316231009,0.0007321571785723791,-4.583442407846451,,,0.95,0.9,3.0977228273144846,3.28481097385676,0.5160733979250932,0.0,-16.854998,2195.7857757471816
98,1783195180.1793523,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.292486587539315,,4.653329830151051,,6.98007852723822,,1.9789948986144736,,2.9182971585541964,-0.23080569505691528,8.99250153452158e-05,0.032994153967592865,1.8257203921675682,32145408,35222,15696,981,-1.6680868,-1.6680868,0.00743518526724074,0.0034016811841866,-4.555845320224762,-18.259335,0.004978494820534252,0.001369235510355793,-4.614029875397682,,,0.95,0.9,2.801061191903339,3.0014844732087167,0.36643799699784807,0.0,-8.51679,2189.5175457560836
99,1783195327.4303885,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.7742245979607105,,4.552779603749514,,6.768857105635107,,1.791460137523245,,2.607865577330813,-0.1840260624885559,-0.0009824632784329879,0.04624026012606919,1.8299712166190147,32473088,35543,15856,991,7.283034,7.283034,0.006499298047856428,0.0016485346815898084,-4.587874275445938,-10.329903,0.006868089364434127,0.001419551228173077,-4.654322075843811,,,0.95,0.9,2.9005861993238176,3.1400474106717366,0.5068985208777689,0.0,-28.29472,2225.315669787583
100,1783195474.1557422,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.260751365975011,,4.90374198416248,,7.38559909601463,,2.1627938798628747,,2.783749890048057,-0.21901123225688934,-0.00821437852573581,0.07504497125046328,1.8449602127075195,32800768,35863,16016,1001,-2.1786628,-2.1786628,0.007465097626845818,0.0024271876929560674,-4.666984447836876,-5.675731,0.0063924871879862625,0.002478159553720616,-4.689587712287903,,,0.95,0.9,3.0910973336083445,3.273993046138203,0.5495147222965737,0.0,-32.964336,2233.2878451253664
